=Asia/Omsk
8000000000000000 17616 0 LMT
fffffe8fa434af80 18000 0 OMST
fffffedd885e5380 21600 0 OMSMMTT
00000052a242b900 25200 1 OMSST
0000005650778e80 21600 0 OMST
00000059f9f3e500 25200 1 OMSST
0000005da828ba80 21600 0 OMST
0000006151a51100 25200 1 OMSST
00000064ffd9e680 21600 0 OMST
00000068ae7c9900 25200 1 OMSST
0000006c582fde00 21600 0 OMST
0000007001754600 25200 1 OMSST
00000073aabaae00 21600 0 OMST
0000007754001600 25200 1 OMSST
0000007afd457e00 21600 0 OMST
0000007ea68ae600 25200 1 OMSST
000000824fd04e00 21600 0 OMST
00000085f915b600 25200 1 OMSST
00000089a25b1e00 21600 0 OMST
0000008d4ba08600 25200 1 OMSST
00000090f4e5ee00 21600 0 OMST
000000949e2b5600 25200 1 OMSST
000000986b7d4200 21600 0 OMST
0000009c14c2aa00 18000 0 OMSMMTT
0000009c14f99880 21600 1 OMSST
0000009fbe3f0080 18000 0 OMST
000000a1ff074080 21600 0 OMSMMTT
000000a366a8ae80 25200 1 OMSST
000000a70fb72800 21600 0 OMST
000000aab9d84a00 25200 1 OMSST
000000ae631db200 21600 0 OMST
000000b20c631a00 25200 1 OMSST
000000b5b5a88200 21600 0 OMST
000000b95eedea00 25200 1 OMSST
000000bd08335200 21600 0 OMST
000000c0d5853e00 25200 1 OMSST
000000c50efcb600 21600 0 OMST
000000c828100e00 25200 1 OMSST
000000cc61878600 21600 0 OMST
000000cf7a9ade00 25200 1 OMSST
000000d3b4125600 21600 0 OMST
000000d6cd25ae00 25200 1 OMSST
000000db2aa9aa00 21600 0 OMST
000000de1fb07e00 25200 1 OMSST
000000e27d347a00 21600 0 OMST
000000e5723b4e00 25200 1 OMSST
000000e9cfbf4a00 21600 0 OMST
000000ece8d2a200 25200 1 OMSST
000000f1224a1a00 21600 0 OMST
000000f43b5d7200 25200 1 OMSST
000000f874d4ea00 21600 0 OMST
000000fb8de84200 25200 1 OMSST
000000ffeb6c3e00 21600 0 OMST
00000102e0731200 25200 1 OMSST
000001073df70e00 21600 0 OMST
0000010a32fde200 25200 1 OMSST
0000010e9081de00 21600 0 OMST
000001118588b200 25200 1 OMSST
00000115e30cae00 21600 0 OMST
00000118fc200600 25200 1 OMSST
0000011d35977e00 21600 0 OMST
000001204eaad600 25200 1 OMSST
0000012488224e00 21600 0 OMST
00000127a135a600 25200 1 OMSST
0000012bfeb9a200 21600 0 OMST
0000012ef3c07600 25200 0 OMST
