=Asia/Oral
8000000000000000 12324 0 LMT
fffffeb073e99360 14400 0 URAT
fffffedd88954200 18000 0 URAT
00000052a279a780 21600 1 URAST
0000005650ae7d00 21600 0 URAT
00000059f9f3e500 18000 0 URAT
00000059fa2ad380 21600 1 URAST
0000005da85fa900 18000 0 URAT
0000006151dbff80 21600 1 URAST
000000650010d500 18000 0 URAT
00000068aeb38780 21600 1 URAST
0000006c5866cc80 18000 0 URAT
0000007001ac3480 21600 1 URAST
00000073aaf19c80 18000 0 URAT
0000007754370480 21600 1 URAST
0000007afd7c6c80 18000 0 URAT
0000007ea6c1d480 21600 1 URAST
0000008250073c80 18000 0 URAT
00000085f94ca480 21600 1 URAST
00000089a2920c80 18000 0 URAT
0000008d4bd77480 14400 0 URAT
0000008d4c0e6300 18000 1 URAST
00000090f553cb00 14400 0 URAT
000000949e993300 18000 1 URAST
000000986beb1f00 14400 0 URAT
0000009a4a6cae00 14400 0 URAT
000000a14fb81a00 14400 0 ORAT
000000a367168b80 18000 1 ORAST
000000a710250500 14400 0 ORAT
000000aaba462700 18000 1 ORAST
000000ae638b8f00 14400 0 ORAT
000000b20cd0f700 18000 1 ORAST
000000b5b6165f00 14400 0 ORAT
000000b95f5bc700 18000 1 ORAST
000000bd08a12f00 14400 0 ORAT
000000c0d5f31b00 18000 1 ORAST
000000c50f6a9300 14400 0 ORAT
000000c8287deb00 18000 1 ORAST
000000cc61f56300 14400 0 ORAT
000000cf7b08bb00 18000 1 ORAST
000000d3b4803300 14400 0 ORAT
000000d6cd938b00 18000 1 ORAST
000000db2b178700 14400 0 ORAT
000000de201e5b00 18000 1 ORAST
000000e27da25700 14400 0 ORAT
000000e572a92b00 18000 1 ORAST
000000e9d02d2700 14400 0 ORAT
000000ece9407f00 18000 1 ORAST
000000f122b7f700 14400 0 ORAT
000000f43bcb4f00 18000 1 ORAST
000000f87542c700 14400 0 ORAT
000000fb8e561f00 18000 1 ORAST
000000ffebda1b00 14400 0 ORAT
00000102a2a6c200 18000 0 ORAT
