=Asia/Qyzylorda
8000000000000000 15712 0 LMT
fffffeb073b5e100 14400 0 KIZT
fffffedd88954200 18000 0 KIZT
00000052a279a780 21600 1 KIZST
0000005650ae7d00 21600 0 KIZT
00000059f9f3e500 18000 0 KIZT
00000059fa2ad380 21600 1 KIZST
0000005da85fa900 18000 0 KIZT
0000006151dbff80 21600 1 KIZST
000000650010d500 18000 0 KIZT
00000068aeb38780 21600 1 KIZST
0000006c5866cc80 18000 0 KIZT
0000007001ac3480 21600 1 KIZST
00000073aaf19c80 18000 0 KIZT
0000007754370480 21600 1 KIZST
0000007afd7c6c80 18000 0 KIZT
0000007ea6c1d480 21600 1 KIZST
0000008250073c80 18000 0 KIZT
00000085f94ca480 21600 1 KIZST
00000089a2920c80 18000 0 KIZT
0000008d4bd77480 21600 1 KIZST
00000090f51cdc80 18000 0 KIZT
000000949e624480 21600 1 KIZST
000000986bb43080 18000 0 KIZT
0000009a4a35bf80 18000 0 KIZT
000000a14f812b80 18000 0 QYZT
000000a1ff074080 21600 0 QYZT
000000a366a8ae80 25200 1 QYZST
000000a70fb72800 21600 0 QYZT
000000aab9d84a00 25200 1 QYZST
000000ae631db200 21600 0 QYZT
000000b20c631a00 25200 1 QYZST
000000b5b5a88200 21600 0 QYZT
000000b95eedea00 25200 1 QYZST
000000bd08335200 21600 0 QYZT
000000c0d5853e00 25200 1 QYZST
000000c50efcb600 21600 0 QYZT
000000c828100e00 25200 1 QYZST
000000cc61878600 21600 0 QYZT
000000cf7a9ade00 25200 1 QYZST
000000d3b4125600 21600 0 QYZT
000000d6cd25ae00 25200 1 QYZST
000000db2aa9aa00 21600 0 QYZT
000000de1fb07e00 25200 1 QYZST
000000e27d347a00 21600 0 QYZT
000000e5723b4e00 25200 1 QYZST
000000e9cfbf4a00 21600 0 QYZT
000000ece8d2a200 25200 1 QYZST
000000f1224a1a00 21600 0 QYZT
000000f43b5d7200 25200 1 QYZST
000000f874d4ea00 21600 0 QYZT
000000fb8de84200 25200 1 QYZST
000000ffeb6c3e00 21600 0 QYZT
00000102a238e500 21600 0 QYZT
