=Asia/Sakhalin
8000000000000000 34248 0 LMT
fffffe271ca396c0 32400 0 CJT
ffffff14deb93d80 32400 0 JST
ffffff4d0e3af980 39600 0 SAKMMTT
00000052a1301080 43200 1 SAKST
000000564f64e600 39600 0 SAKT
00000059f8e13c80 43200 1 SAKST
0000005da7161200 39600 0 SAKT
0000006150926880 43200 1 SAKST
00000064fec73e00 39600 0 SAKT
00000068ad69f080 43200 1 SAKST
0000006c571d3580 39600 0 SAKT
0000007000629d80 43200 1 SAKST
00000073a9a80580 39600 0 SAKT
0000007752ed6d80 43200 1 SAKST
0000007afc32d580 39600 0 SAKT
0000007ea5783d80 43200 1 SAKST
000000824ebda580 39600 0 SAKT
00000085f8030d80 43200 1 SAKST
00000089a1487580 39600 0 SAKT
0000008d4a8ddd80 43200 1 SAKST
00000090f3d34580 39600 0 SAKT
000000949d18ad80 43200 1 SAKST
000000986a6a9980 39600 0 SAKT
0000009c13b00180 36000 0 SAKMMTT
0000009c13e6f000 39600 1 SAKST
0000009fbd2c5800 36000 0 SAKT
000000a1fdf49800 39600 0 SAKMMTT
000000a365960600 43200 1 SAKST
000000a70ea47f80 39600 0 SAKT
000000aab8c5a180 43200 1 SAKST
000000ae620b0980 39600 0 SAKT
000000b20b507180 43200 1 SAKST
000000b5b495d980 39600 0 SAKT
000000b95ddb4180 43200 1 SAKST
000000bd0720a980 39600 0 SAKT
000000c0d4729580 43200 1 SAKST
000000c50dea0d80 39600 0 SAKT
000000c826fd6580 36000 0 SAKMMTT
000000c827345400 39600 1 SAKST
000000cc60abcc00 36000 0 SAKT
000000cf79bf2400 39600 1 SAKST
000000d3b3369c00 36000 0 SAKT
000000d6cc49f400 39600 1 SAKST
000000db29cdf000 36000 0 SAKT
000000de1ed4c400 39600 1 SAKST
000000e27c58c000 36000 0 SAKT
000000e5715f9400 39600 1 SAKST
000000e9cee39000 36000 0 SAKT
000000ece7f6e800 39600 1 SAKST
000000f1216e6000 36000 0 SAKT
000000f43a81b800 39600 1 SAKST
000000f873f93000 36000 0 SAKT
000000fb8d0c8800 39600 1 SAKST
000000ffea908400 36000 0 SAKT
00000102df975800 39600 1 SAKST
000001073d1b5400 36000 0 SAKT
0000010a32222800 39600 1 SAKST
0000010e8fa62400 36000 0 SAKT
0000011184acf800 39600 1 SAKST
00000115e230f400 36000 0 SAKT
00000118fb444c00 39600 1 SAKST
0000011d34bbc400 36000 0 SAKT
000001204dcf1c00 39600 1 SAKST
0000012487469400 36000 0 SAKT
00000127a059ec00 39600 1 SAKST
0000012bfddde800 36000 0 SAKT
0000012ef2e4bc00 39600 0 SAKT
