=Asia/Samarkand
8000000000000000 16032 0 LMT
fffffeb073b0ff00 14400 0 SAMT
fffffedd88954200 18000 0 SAMT
00000052a279a780 21600 1 SAMST
0000005650ae7d00 21600 0 TAST
00000059f9f3e500 18000 0 SAMT
00000059fa2ad380 21600 1 SAMST
0000005da85fa900 18000 0 SAMT
0000006151dbff80 21600 1 SAMST
000000650010d500 18000 0 SAMT
00000068aeb38780 21600 1 SAMST
0000006c5866cc80 18000 0 SAMT
0000007001ac3480 21600 1 SAMST
00000073aaf19c80 18000 0 SAMT
0000007754370480 21600 1 SAMST
0000007afd7c6c80 18000 0 SAMT
0000007ea6c1d480 21600 1 SAMST
0000008250073c80 18000 0 SAMT
00000085f94ca480 21600 1 SAMST
00000089a2920c80 18000 0 SAMT
0000008d4bd77480 21600 1 SAMST
00000090f51cdc80 18000 0 SAMT
000000949e624480 21600 1 SAMST
000000986bb43080 18000 0 SAMT
0000009c14f99880 21600 1 SAMST
0000009f2d9f1380 21600 0 UZST
0000009fbe3f0080 18000 0 UZT
000000a1a1e6eb80 18000 0 UZT
