=Asia/Taipei
8000000000000000 29160 0 LMT
fffffde04859ddc0 28800 0 CST
ffffff4ab9103800 32400 1 CDT
ffffff4dccc64580 28800 0 CST
ffffff5210c16400 32400 1 CDT
ffffff5524777180 28800 0 CST
ffffff5968729000 32400 1 CDT
ffffff5c7c289d80 28800 0 CST
ffffff60c54a1800 32400 1 CDT
ffffff63d9002580 28800 0 CST
ffffff681cfb4400 32400 1 CDT
ffffff6b30b15180 28800 0 CST
ffffff6f74ac7000 32400 1 CDT
ffffff7288627d80 28800 0 CST
ffffff76cc5d9c00 32400 1 CDT
ffffff79e013a980 28800 0 CST
ffffff7cef113800 32400 1 CDT
ffffff81dc905580 28800 0 CST
ffffff84e6678800 32400 1 CDT
ffffff8934418180 28800 0 CST
ffffff8c3e18b400 32400 1 CDT
ffffff908bf2ad80 28800 0 CST
ffffff9395c9e000 32400 1 CDT
ffffff9743feb580 28800 0 CST
ffffff9af2a16800 32400 1 CDT
ffffff9ea0d63d80 28800 0 CST
ffffffa24a529400 32400 1 CDT
ffffffa5f8876980 28800 0 CST
ffffffa9a203c000 32400 1 CDT
ffffffad50389580 28800 0 CST
ffffffb0f9b4ec00 32400 1 CDT
ffffffb4a7e9c180 28800 0 CST
ffffffb990b06000 32400 1 CDT
ffffffbc04c14980 28800 0 CST
ffffffc0e8618c00 32400 1 CDT
ffffffc35c727580 28800 0 CST
0000001f31aff000 32400 1 CDT
00000022dfe4c580 28800 0 CST
0000002689611c00 32400 1 CDT
0000002a3795f180 28800 0 CST
00000045bcc88000 32400 1 CDT
00000047965aa180 28800 0 CST
