=Asia/Tashkent
8000000000000000 16632 0 LMT
fffffeb073a7d740 18000 0 TAST
fffffedd885e5380 21600 0 TAST
00000052a242b900 25200 1 TASST
0000005650778e80 21600 0 TAST
00000059f9f3e500 25200 1 TASST
0000005da828ba80 21600 0 TAST
0000006151a51100 25200 1 TASST
00000064ffd9e680 21600 0 TAST
00000068ae7c9900 25200 1 TASST
0000006c582fde00 21600 0 TAST
0000007001754600 25200 1 TASST
00000073aabaae00 21600 0 TAST
0000007754001600 25200 1 TASST
0000007afd457e00 21600 0 TAST
0000007ea68ae600 25200 1 TASST
000000824fd04e00 21600 0 TAST
00000085f915b600 25200 1 TASST
00000089a25b1e00 21600 0 TAST
0000008d4ba08600 25200 1 TASST
00000090f4e5ee00 21600 0 TAST
000000949e2b5600 25200 1 TASST
000000986b7d4200 21600 0 TAST
0000009c14c2aa00 18000 0 TAST
0000009c14f99880 21600 1 TASST
0000009f2d9f1380 21600 0 UZST
0000009fbe3f0080 18000 0 UZT
000000a1a1e6eb80 18000 0 UZT
