=Asia/Tbilisi
8000000000000000 10756 0 LMT
fffffd6ab9c68060 10756 0 TBMT
fffffeb074018060 10800 0 TBIT
ffffffa1abc01880 14400 0 TBIT
00000052a2b09600 18000 1 TBIST
0000005650e56b80 14400 0 TBIT
00000059fa61c200 18000 1 TBIST
0000005da8969780 14400 0 TBIT
000000615212ee00 18000 1 TBIST
000000650047c380 14400 0 TBIT
00000068aeea7600 18000 1 TBIST
0000006c589dbb00 14400 0 TBIT
0000007001e32300 18000 1 TBIST
00000073ab288b00 14400 0 TBIT
00000077546df300 18000 1 TBIST
0000007afdb35b00 14400 0 TBIT
0000007ea6f8c300 18000 1 TBIST
00000082503e2b00 14400 0 TBIT
00000085f9839300 18000 1 TBIST
00000089a2c8fb00 14400 0 TBIT
0000008d4c0e6300 18000 1 TBIST
00000090f553cb00 14400 0 TBIT
000000949e993300 18000 1 TBIST
000000986beb1f00 14400 0 TBIT
0000009c15308700 14400 1 TBIST
0000009c431be600 14400 0 GEST
0000009fbeacdd80 10800 0 GET
000000a1a254c880 10800 0 GET
000000a367846880 14400 1 GEST
000000a71092e200 10800 0 GET
000000aaba0f3880 14400 1 GEST
000000ae631db200 10800 0 GET
000000b20c9a0880 14400 1 GEST
000000b5b5df7080 14400 0 GET
000000b95eedea00 18000 1 GEST
000000bd07fc6380 14400 0 GET
000000c0d5853e00 18000 1 GEST
000000c50efcb600 18000 1 GEST
000000c827d91f80 18000 0 GEST
000000cc61509780 14400 0 GET
000000cf7a9ade00 18000 1 GEST
000000d3b3db6780 14400 0 GET
000000d6cd25ae00 18000 1 GEST
000000db2a72bb80 14400 0 GET
000000de1fb07e00 18000 1 GEST
000000e27cfd8b80 14400 0 GET
000000e5723b4e00 18000 1 GEST
000000e9cf885b80 14400 0 GET
000000ece8d2a200 18000 1 GEST
000000f122132b80 14400 0 GET
000000f43b5d7200 18000 1 GEST
000000f8749dfb80 14400 0 GET
000000fb8de84200 18000 1 GEST
000000fd628af600 14400 0 GEST
000000ffec110980 10800 0 GET
00000102e117dd80 14400 0 GET
