=Asia/Tehran
8000000000000000 12344 0 LMT
fffffe7337cb5540 12344 0 TMT
ffffff4fa7c15d40 12600 0 IRST
000000398cf1e940 14400 0 IRST
0000003c5dd0c200 18000 1 IRDT
00000040abaabb80 14400 0 IRST
000000421eab8a00 12600 0 IRST
00000043b59d6540 16200 1 IRDT
000000475eabdec0 12600 0 IRST
0000004b1274ed40 16200 1 IRDT
0000004ed01cd6c0 12600 0 IRST
0000009cbecffd40 16200 1 IRDT
0000009f99e016c0 12600 0 IRST
000000a3435c6d40 16200 1 IRDT
000000a6f6b79ec0 12600 0 IRST
000000aa9b0d9940 16200 1 IRDT
000000ae4e68cac0 12600 0 IRST
000000b1f2bec540 16200 1 IRDT
000000b5a619f6c0 12600 0 IRST
000000b94a6ff140 16200 1 IRDT
000000bcfdcb22c0 12600 0 IRST
000000c0a2211d40 16200 1 IRDT
000000c4557c4ec0 12600 0 IRST
000000c7fef8a540 16200 1 IRDT
000000cbb253d6c0 12600 0 IRST
000000cf56a9d140 16200 1 IRDT
000000d30a0502c0 12600 0 IRST
000000d6ae5afd40 16200 1 IRDT
000000da61b62ec0 12600 0 IRST
000000de060c2940 16200 1 IRDT
000000e1b9675ac0 12600 0 IRST
000000e562e3b140 16200 1 IRDT
000000e9163ee2c0 12600 0 IRST
000000ecba94dd40 16200 1 IRDT
000000f06df00ec0 12600 0 IRST
000000f412460940 16200 1 IRDT
000000f7c5a13ac0 12600 0 IRST
000000fb69f73540 16200 1 IRDT
000000ff1d5266c0 12600 0 IRST
00000102c6cebd40 16200 1 IRDT
000001067a29eec0 12600 0 IRST
00000118cde24140 16200 1 IRDT
0000011c813d72c0 12600 0 IRST
000001202ab9c940 16200 1 IRDT
00000123de14fac0 12600 0 IRST
00000127826af540 16200 1 IRDT
0000012b35c626c0 12600 0 IRST
0000012eda1c2140 16200 1 IRDT
000001328d7752c0 12600 0 IRST
0000013631cd4d40 16200 1 IRDT
00000139e5287ec0 12600 0 IRST
0000013d8ea4d540 16200 1 IRDT
00000141420006c0 12600 0 IRST
00000144e6560140 16200 1 IRDT
0000014899b132c0 12600 0 IRST
0000014c3e072d40 16200 1 IRDT
0000014ff1625ec0 12600 0 IRST
0000015395b85940 16200 1 IRDT
0000015749138ac0 12600 0 IRST
0000015af28fe140 16200 1 IRDT
0000015ea5eb12c0 12600 0 IRST
000001624a410d40 16200 1 IRDT
00000165fd9c3ec0 12600 0 IRST
00000169a1f23940 16200 1 IRDT
0000016d554d6ac0 12600 0 IRST
00000170f9a36540 16200 1 IRDT
00000174acfe96c0 12600 0 IRST
00000178567aed40 16200 1 IRDT
0000017c09d61ec0 12600 0 IRST
0000017fae2c1940 16200 1 IRDT
0000018361874ac0 12600 0 IRST
0000018705dd4540 16200 1 IRDT
0000018ab93876c0 12600 0 IRST
0000018e5d8e7140 16200 1 IRDT
0000019210e9a2c0 12600 0 IRST
00000195ba65f940 16200 1 IRDT
000001996dc12ac0 12600 0 IRST
0000019d12172540 16200 1 IRDT
000001a0c57256c0 12600 0 IRST
000001a469c85140 16200 1 IRDT
000001a81d2382c0 12600 0 IRST
000001abc1797d40 16200 1 IRDT
000001af74d4aec0 12600 0 IRST
000001b3192aa940 16200 1 IRDT
000001b6cc85dac0 12600 0 IRST
000001ba76023140 16200 1 IRDT
000001be295d62c0 12600 0 IRST
000001c1cdb35d40 16200 1 IRDT
000001c5810e8ec0 12600 0 IRST
000001c925648940 16200 1 IRDT
000001ccd8bfbac0 12600 0 IRST
000001d07d15b540 16200 1 IRDT
000001d43070e6c0 12600 0 IRST
000001d7d9ed3d40 16200 1 IRDT
000001db8d486ec0 12600 0 IRST
000001df319e6940 16200 1 IRDT
000001e2e4f99ac0 12600 0 IRST
000001e6894f9540 16200 1 IRDT
000001ea3caac6c0 12600 0 IRST
000001ede100c140 16200 1 IRDT
000001f1945bf2c0 12600 0 IRST
