=Asia/Ulaanbaatar
8000000000000000 25652 0 LMT
fffffe26abdad8e0 25200 0 ULAT
0000003ac6559280 28800 0 ULAT
0000006151373400 32400 1 ULAST
00000064ff6c0980 28800 0 ULAT
00000068ae0ebc00 32400 1 ULAST
0000006c571d3580 28800 0 ULAT
0000007000998c00 32400 1 ULAST
00000073a9a80580 28800 0 ULAT
0000007753245c00 32400 1 ULAST
0000007afc32d580 28800 0 ULAT
0000007ea5af2c00 32400 1 ULAST
000000824ebda580 28800 0 ULAT
00000085f839fc00 32400 1 ULAST
00000089a1487580 28800 0 ULAT
0000008d4ac4cc00 32400 1 ULAST
00000090f3d34580 28800 0 ULAT
000000949d4f9c00 32400 1 ULAST
000000986a6a9980 28800 0 ULAT
0000009c13e6f000 32400 1 ULAST
0000009fbcf56980 28800 0 ULAT
000000a36671c000 32400 1 ULAST
000000a70f803980 28800 0 ULAT
000000aab8fc9000 32400 1 ULAST
000000ae620b0980 28800 0 ULAT
000000b20b876000 32400 1 ULAST
000000b5b495d980 28800 0 ULAT
000000b95e123000 32400 1 ULAST
000000bd0720a980 28800 0 ULAT
000000c0d4a98400 32400 1 ULAST
000000c47db7fd80 28800 0 ULAT
000000c827345400 32400 1 ULAST
000000cbd042cd80 28800 0 ULAT
000000cf79bf2400 32400 1 ULAST
000000d322cd9d80 28800 0 ULAT
000000e620e5a900 32400 1 ULAST
000000e939c21280 28800 0 ULAT
000000ece33e6900 32400 1 ULAST
000000f08c4ce280 28800 0 ULAT
000000f435c93900 32400 1 ULAST
000000f7ded7b280 28800 0 ULAT
000000fb88540900 32400 1 ULAST
000000ff31628280 28800 0 ULAT
00000102daded900 32400 1 ULAST
0000010683ed5280 28800 0 ULAT
0000010a2d69a900 32400 1 ULAST
0000010dfa84a680 28800 0 ULAT
