=Asia/Vladivostok
8000000000000000 31664 0 LMT
fffffea5b4be9080 32400 0 VLAT
fffffedd87829980 36000 0 VLAMMTT
00000052a166ff00 39600 1 VLAST
000000564f9bd480 36000 0 VLAT
00000059f9182b00 39600 1 VLAST
0000005da74d0080 36000 0 VLAT
0000006150c95700 39600 1 VLAST
00000064fefe2c80 36000 0 VLAT
00000068ada0df00 39600 1 VLAST
0000006c57542400 36000 0 VLAT
0000007000998c00 39600 1 VLAST
00000073a9def400 36000 0 VLAT
0000007753245c00 39600 1 VLAST
0000007afc69c400 36000 0 VLAT
0000007ea5af2c00 39600 1 VLAST
000000824ef49400 36000 0 VLAT
00000085f839fc00 39600 1 VLAST
00000089a17f6400 36000 0 VLAT
0000008d4ac4cc00 39600 1 VLAST
00000090f40a3400 36000 0 VLAT
000000949d4f9c00 39600 1 VLAST
000000986aa18800 36000 0 VLAT
0000009c13e6f000 32400 0 VLAMMTST
0000009c141dde80 36000 1 VLASST
0000009fbd634680 32400 0 VLAST
000000a1fe2b8680 36000 0 VLAMMTT
000000a365ccf480 39600 1 VLAST
000000a70edb6e00 36000 0 VLAT
000000aab8fc9000 39600 1 VLAST
000000ae6241f800 36000 0 VLAT
000000b20b876000 39600 1 VLAST
000000b5b4ccc800 36000 0 VLAT
000000b95e123000 39600 1 VLAST
000000bd07579800 36000 0 VLAT
000000c0d4a98400 39600 1 VLAST
000000c50e20fc00 36000 0 VLAT
000000c827345400 39600 1 VLAST
000000cc60abcc00 36000 0 VLAT
000000cf79bf2400 39600 1 VLAST
000000d3b3369c00 36000 0 VLAT
000000d6cc49f400 39600 1 VLAST
000000db29cdf000 36000 0 VLAT
000000de1ed4c400 39600 1 VLAST
000000e27c58c000 36000 0 VLAT
000000e5715f9400 39600 1 VLAST
000000e9cee39000 36000 0 VLAT
000000ece7f6e800 39600 1 VLAST
000000f1216e6000 36000 0 VLAT
000000f43a81b800 39600 1 VLAST
000000f873f93000 36000 0 VLAT
000000fb8d0c8800 39600 1 VLAST
000000ffea908400 36000 0 VLAT
00000102df975800 39600 1 VLAST
000001073d1b5400 36000 0 VLAT
0000010a32222800 39600 1 VLAST
0000010e8fa62400 36000 0 VLAT
0000011184acf800 39600 1 VLAST
00000115e230f400 36000 0 VLAT
00000118fb444c00 39600 1 VLAST
0000011d34bbc400 36000 0 VLAT
000001204dcf1c00 39600 1 VLAST
0000012487469400 36000 0 VLAT
00000127a059ec00 39600 1 VLAST
0000012bfddde800 36000 0 VLAT
0000012ef2e4bc00 39600 0 VLAT
