=Asia/Yakutsk
8000000000000000 31120 0 LMT
fffffe90430bc580 28800 0 YAKT
fffffedd87b98800 32400 0 YAKMMTT
00000052a19ded80 36000 1 YAKST
000000564fd2c300 32400 0 YAKT
00000059f94f1980 36000 1 YAKST
0000005da783ef00 32400 0 YAKT
0000006151004580 36000 1 YAKST
00000064ff351b00 32400 0 YAKT
00000068add7cd80 36000 1 YAKST
0000006c578b1280 32400 0 YAKT
0000007000d07a80 36000 1 YAKST
00000073aa15e280 32400 0 YAKT
00000077535b4a80 36000 1 YAKST
0000007afca0b280 32400 0 YAKT
0000007ea5e61a80 36000 1 YAKST
000000824f2b8280 32400 0 YAKT
00000085f870ea80 36000 1 YAKST
00000089a1b65280 32400 0 YAKT
0000008d4afbba80 36000 1 YAKST
00000090f4412280 32400 0 YAKT
000000949d868a80 36000 1 YAKST
000000986ad87680 32400 0 YAKT
0000009c141dde80 28800 0 YAKMMTT
0000009c1454cd00 32400 1 YAKST
0000009fbd9a3500 28800 0 YAKT
000000a1fe627500 32400 0 YAKMMTT
000000a36603e300 36000 1 YAKST
000000a70f125c80 32400 0 YAKT
000000aab9337e80 36000 1 YAKST
000000ae6278e680 32400 0 YAKT
000000b20bbe4e80 36000 1 YAKST
000000b5b503b680 32400 0 YAKT
000000b95e491e80 36000 1 YAKST
000000bd078e8680 32400 0 YAKT
000000c0d4e07280 36000 1 YAKST
000000c50e57ea80 32400 0 YAKT
000000c8276b4280 36000 1 YAKST
000000cc60e2ba80 32400 0 YAKT
000000cf79f61280 36000 1 YAKST
000000d3b36d8a80 32400 0 YAKT
000000d6cc80e280 36000 1 YAKST
000000db2a04de80 32400 0 YAKT
000000de1f0bb280 36000 1 YAKST
000000e27c8fae80 32400 0 YAKT
000000e571968280 36000 1 YAKST
000000e9cf1a7e80 32400 0 YAKT
000000ece82dd680 36000 1 YAKST
000000f121a54e80 32400 0 YAKT
000000f43ab8a680 36000 1 YAKST
000000f874301e80 32400 0 YAKT
000000fb8d437680 36000 1 YAKST
000000ffeac77280 32400 0 YAKT
00000102dfce4680 36000 1 YAKST
000001073d524280 32400 0 YAKT
0000010a32591680 36000 1 YAKST
0000010e8fdd1280 32400 0 YAKT
0000011184e3e680 36000 1 YAKST
00000115e267e280 32400 0 YAKT
00000118fb7b3a80 36000 1 YAKST
0000011d34f2b280 32400 0 YAKT
000001204e060a80 36000 1 YAKST
00000124877d8280 32400 0 YAKT
00000127a090da80 36000 1 YAKST
0000012bfe14d680 32400 0 YAKT
0000012ef31baa80 36000 0 YAKT
