=Asia/Yekaterinburg
8000000000000000 14544 0 LMT
fffffe8d30f77180 14400 0 SVET
fffffedd88954200 18000 0 SVEMMTT
00000052a279a780 21600 1 SVEST
0000005650ae7d00 18000 0 SVET
00000059fa2ad380 21600 1 SVEST
0000005da85fa900 18000 0 SVET
0000006151dbff80 21600 1 SVEST
000000650010d500 18000 0 SVET
00000068aeb38780 21600 1 SVEST
0000006c5866cc80 18000 0 SVET
0000007001ac3480 21600 1 SVEST
00000073aaf19c80 18000 0 SVET
0000007754370480 21600 1 SVEST
0000007afd7c6c80 18000 0 SVET
0000007ea6c1d480 21600 1 SVEST
0000008250073c80 18000 0 SVET
00000085f94ca480 21600 1 SVEST
00000089a2920c80 18000 0 SVET
0000008d4bd77480 21600 1 SVEST
00000090f51cdc80 18000 0 SVET
000000949e624480 21600 1 SVEST
000000986bb43080 18000 0 SVET
0000009c14f99880 14400 0 SVEMMTT
0000009c15308700 18000 1 SVEST
0000009fbe75ef00 14400 0 SVET
000000a1ff3e2f00 18000 0 YEKMMTT
000000a366df9d00 21600 1 YEKST
000000a70fee1680 18000 0 YEKT
000000aaba0f3880 21600 1 YEKST
000000ae6354a080 18000 0 YEKT
000000b20c9a0880 21600 1 YEKST
000000b5b5df7080 18000 0 YEKT
000000b95f24d880 21600 1 YEKST
000000bd086a4080 18000 0 YEKT
000000c0d5bc2c80 21600 1 YEKST
000000c50f33a480 18000 0 YEKT
000000c82846fc80 21600 1 YEKST
000000cc61be7480 18000 0 YEKT
000000cf7ad1cc80 21600 1 YEKST
000000d3b4494480 18000 0 YEKT
000000d6cd5c9c80 21600 1 YEKST
000000db2ae09880 18000 0 YEKT
000000de1fe76c80 21600 1 YEKST
000000e27d6b6880 18000 0 YEKT
000000e572723c80 21600 1 YEKST
000000e9cff63880 18000 0 YEKT
000000ece9099080 21600 1 YEKST
000000f122810880 18000 0 YEKT
000000f43b946080 21600 1 YEKST
000000f8750bd880 18000 0 YEKT
000000fb8e1f3080 21600 1 YEKST
000000ffeba32c80 18000 0 YEKT
00000102e0aa0080 21600 1 YEKST
000001073e2dfc80 18000 0 YEKT
0000010a3334d080 21600 1 YEKST
0000010e90b8cc80 18000 0 YEKT
0000011185bfa080 21600 1 YEKST
00000115e3439c80 18000 0 YEKT
00000118fc56f480 21600 1 YEKST
0000011d35ce6c80 18000 0 YEKT
000001204ee1c480 21600 1 YEKST
0000012488593c80 18000 0 YEKT
00000127a16c9480 21600 1 YEKST
0000012bfef09080 18000 0 YEKT
0000012ef3f76480 21600 0 YEKT
