=Asia/Yerevan
8000000000000000 10680 0 LMT
fffffeb07402a940 10800 0 YERT
ffffffa1abc01880 14400 0 YERT
00000052a2b09600 18000 1 YERST
0000005650e56b80 14400 0 YERT
00000059fa61c200 18000 1 YERST
0000005da8969780 14400 0 YERT
000000615212ee00 18000 1 YERST
000000650047c380 14400 0 YERT
00000068aeea7600 18000 1 YERST
0000006c589dbb00 14400 0 YERT
0000007001e32300 18000 1 YERST
00000073ab288b00 14400 0 YERT
00000077546df300 18000 1 YERST
0000007afdb35b00 14400 0 YERT
0000007ea6f8c300 18000 1 YERST
00000082503e2b00 14400 0 YERT
00000085f9839300 18000 1 YERST
00000089a2c8fb00 14400 0 YERT
0000008d4c0e6300 18000 1 YERST
00000090f553cb00 14400 0 YERT
000000949e993300 18000 1 YERST
000000986beb1f00 14400 0 YERT
0000009c15308700 14400 1 YERST
0000009f9f21ea00 14400 0 AMST
0000009fbeacdd80 10800 0 AMT
000000a3674d7a00 14400 1 AMST
000000a7105bf380 10800 0 AMT
000000aaba7d1580 14400 1 AMST
000000ae63c27d80 10800 0 AMT
000000b20d07e580 14400 1 AMST
000000b5b64d4d80 10800 0 AMT
000000b95f92b580 14400 1 AMST
000000bd08d81d80 14400 0 AMT
000000c662e06e00 14400 0 AMT
000000c8287deb00 18000 1 AMST
000000cc61f56300 14400 0 AMT
000000cf7b08bb00 18000 1 AMST
000000d3b4803300 14400 0 AMT
000000d6cd938b00 18000 1 AMST
000000db2b178700 14400 0 AMT
000000de201e5b00 18000 1 AMST
000000e27da25700 14400 0 AMT
000000e572a92b00 18000 1 AMST
000000e9d02d2700 14400 0 AMT
000000ece9407f00 18000 1 AMST
000000f122b7f700 14400 0 AMT
000000f43bcb4f00 18000 1 AMST
000000f87542c700 14400 0 AMT
000000fb8e561f00 18000 1 AMST
000000ffebda1b00 14400 0 AMT
00000102e0e0ef00 18000 1 AMST
000001073e64eb00 14400 0 AMT
0000010a336bbf00 18000 1 AMST
0000010e90efbb00 14400 0 AMT
0000011185f68f00 18000 1 AMST
00000115e37a8b00 14400 0 AMT
00000118fc8de300 18000 1 AMST
0000011d36055b00 14400 0 AMT
000001204f18b300 18000 1 AMST
0000012488902b00 14400 0 AMT
00000127a1a38300 18000 1 AMST
0000012bff277f00 14400 0 AMT
0000012ef42e5300 18000 1 AMST
0000013351b24f00 14400 0 AMT
0000013646b92300 14400 0 AMT
