=Atlantic/Canary
8000000000000000 -3696 0 LMT
fffffea0810b0980 -3600 0 CANT
ffffff5521ad5500 0 0 WET
0000004b659af000 3600 1 WEST
0000004eead3d400 3600 0 WEST
0000004eeb0ac280 0 0 WET
0000005294502a80 3600 1 WEST
000000563d959280 0 0 WET
00000059e6dafa80 3600 1 WEST
0000005d90206280 0 0 WET
000000613965ca80 3600 1 WEST
00000064e2ab3280 0 0 WET
000000688bf09a80 3600 1 WEST
0000006c59428680 0 0 WET
000000700287ee80 3600 1 WEST
00000073abcd5680 0 0 WET
000000775512be80 3600 1 WEST
0000007afe582680 0 0 WET
0000007ea79d8e80 3600 1 WEST
0000008250e2f680 0 0 WET
00000085fa285e80 3600 1 WEST
00000089a36dc680 0 0 WET
0000008d4cb32e80 3600 1 WEST
00000090f5f89680 0 0 WET
000000949f3dfe80 3600 1 WEST
000000986c8fea80 0 0 WET
0000009c15d55280 3600 1 WEST
0000009fbf1aba80 0 0 WET
000000a368602280 3600 1 WEST
000000a711a58a80 0 0 WET
000000aabaeaf280 3600 1 WEST
000000ae64305a80 0 0 WET
000000b20d75c280 3600 1 WEST
000000b5b6bb2a80 0 0 WET
000000b960009280 3600 1 WEST
000000bd0945fa80 0 0 WET
000000c0d697e680 3600 1 WEST
000000c5100f5e80 0 0 WET
000000c82922b680 3600 1 WEST
000000cc629a2e80 0 0 WET
000000cf7bad8680 3600 1 WEST
000000d3b524fe80 0 0 WET
000000d6ce385680 3600 1 WEST
000000db2bbc5280 0 0 WET
000000de20c32680 3600 1 WEST
000000e27e472280 0 0 WET
000000e5734df680 3600 1 WEST
000000e9d0d1f280 0 0 WET
000000ece9e54a80 3600 1 WEST
000000f1235cc280 0 0 WET
000000f43c701a80 3600 1 WEST
000000f875e79280 0 0 WET
000000fb8efaea80 3600 1 WEST
000000ffec7ee680 0 0 WET
00000102e185ba80 3600 1 WEST
000001073f09b680 0 0 WET
0000010a34108a80 3600 1 WEST
0000010e91948680 0 0 WET
00000111869b5a80 3600 1 WEST
00000115e41f5680 0 0 WET
00000118fd32ae80 3600 1 WEST
0000011d36aa2680 0 0 WET
000001204fbd7e80 3600 1 WEST
000001248934f680 0 0 WET
00000127a2484e80 3600 1 WEST
0000012bffcc4a80 0 0 WET
0000012ef4d31e80 3600 1 WEST
0000013352571a80 0 0 WET
00000136475dee80 3600 1 WEST
0000013aa4e1ea80 0 0 WET
0000013dbdf54280 3600 1 WEST
00000141f76cba80 0 0 WET
0000014510801280 3600 1 WEST
0000014949f78a80 0 0 WET
