=Atlantic/Madeira
8000000000000000 -4056 0 LMT
fffffd881e938fc0 -4056 0 FMT
fffffe515d96bfc0 -3600 0 MADT
fffffe769eda6c00 0 1 MADST
fffffe795b723a80 -3600 0 MADT
fffffe7bc5366c00 0 1 MADST
fffffe805b605c00 -3600 0 MADT
fffffe83220df400 0 1 MADST
fffffe87b3118800 -3600 0 MADT
fffffe8a7498c400 0 1 MADST
fffffe8f0ac2b400 -3600 0 MADT
fffffe91d1704c00 0 1 MADST
fffffe96679a3c00 -3600 0 MADT
fffffe9929217800 0 1 MADST
fffffe9dbf4b6800 -3600 0 MADT
fffffeb027663c00 0 1 MADST
fffffeb3cb854800 -3600 0 MADT
fffffebedbeef000 0 1 MADST
fffffec23d1b5000 -3600 0 MADT
fffffec60a6d3c00 0 1 MADST
fffffec98fa62000 -3600 0 MADT
fffffecd81049000 0 1 MADST
fffffed1063d7400 -3600 0 MADT
fffffed4f79be400 0 1 MADST
fffffed858c84400 -3600 0 MADT
fffffee39cb18400 0 1 MADST
fffffee6fddde400 -3600 0 MADT
fffffeeaa7234c00 0 1 MADST
fffffeee5068b400 -3600 0 MADT
fffffef970457000 0 1 MADST
fffffefd198ad800 -3600 0 MADT
ffffff009ec3bc00 0 1 MADST
ffffff046c15a800 -3600 0 MADT
ffffff085d741800 0 1 MADST
ffffff0bbea07800 -3600 0 MADT
ffffff0f67e5e000 0 1 MADST
ffffff13112b4800 -3600 0 MADT
ffffff1696642c00 0 1 MADST
ffffff1a63b61800 -3600 0 MADT
ffffff1e55148800 0 1 MADST
ffffff22b2988400 -3600 0 MADT
ffffff24ab47bc00 0 1 MADST
ffffff292cd83c00 -3600 0 MADT
ffffff2cd61da400 0 1 MADST
ffffff3084896800 -3600 0 MADT
ffffff33bc82e800 0 1 MADST
ffffff3494971180 3600 1 MADMT
ffffff36d55f5180 0 1 MADST
ffffff383e136800 -3600 0 MADT
ffffff3b0f0db800 0 1 MADST
ffffff3bc3155d80 3600 1 MADMT
ffffff3e70032980 0 1 MADST
ffffff3fb4aabc00 -3600 0 MADT
ffffff4261988800 0 1 MADST
ffffff4339acb180 3600 1 MADMT
ffffff45c28df980 0 1 MADST
ffffff4707358c00 -3600 0 MADT
ffffff49b4235800 0 1 MADST
ffffff4a8c378180 3600 1 MADMT
ffffff4d1518c980 0 1 MADST
ffffff4e59c05c00 -3600 0 MADT
ffffff5196e03800 0 1 MADST
ffffff554025a000 -3600 0 MADT
ffffff58ea0fd380 0 1 MADST
ffffff5c93553b80 -3600 0 MADT
ffffff603c9aa380 0 1 MADST
ffffff63e5e00b80 -3600 0 MADT
ffffff678f257380 0 1 MADST
ffffff6b386adb80 -3600 0 MADT
ffffff76343b1380 0 1 MADST
ffffff7a018cff80 -3600 0 MADT
ffffff7daad26780 0 1 MADST
ffffff815417cf80 -3600 0 MADT
ffffff84fd5d3780 0 1 MADST
ffffff88a6a29f80 -3600 0 MADT
ffffff8c4fe80780 0 1 MADST
ffffff8ff92d6f80 -3600 0 MADT
ffffff93a272d780 0 1 MADST
ffffff974bb83f80 -3600 0 MADT
ffffff9af4fda780 0 1 MADST
ffffff9ec24f9380 -3600 0 MADT
ffffffa26b94fb80 0 1 MADST
ffffffa614da6380 -3600 0 MADT
ffffffa9be1fcb80 0 1 MADST
ffffffad67653380 -3600 0 MADT
ffffffb110aa9b80 0 1 MADST
ffffffb4b9f00380 -3600 0 MADT
ffffffb863356b80 0 1 MADST
ffffffbc0c7ad380 -3600 0 MADT
ffffffbfb5c03b80 0 1 MADST
ffffffc35f05a380 -3600 0 MADT
ffffffc7084b0b80 0 1 MADST
ffffffcad59cf780 -3600 0 MADT
ffffffce7ee25f80 0 1 MADST
ffffffd22827c780 -3600 0 MADT
ffffffd5d16d2f80 0 1 MADST
ffffffd97ab29780 -3600 0 MADT
ffffffdd23f7ff80 0 1 MADST
ffffffe0cd3d6780 -3600 0 MADT
ffffffe47682cf80 0 0 WET
0000003525e17800 3600 1 WEST
00000038cf26e000 0 0 WET
0000003c9c78cc00 3600 1 WEST
0000004045be3400 0 0 WET
00000043ef039c00 3600 1 WEST
00000047987ff280 0 0 WET
0000004b418e6c00 3600 1 WEST
0000004eeb0ac280 0 0 WET
0000005294502a80 3600 1 WEST
000000563d959280 0 0 WET
00000059e6dafa80 3600 1 WEST
0000005d90206280 0 0 WET
00000061399cb900 3600 1 WEST
00000064e2ab3280 0 0 WET
000000688bf09a80 3600 1 WEST
0000006c59428680 0 0 WET
000000700287ee80 3600 1 WEST
00000073abcd5680 0 0 WET
000000775512be80 3600 1 WEST
0000007afe582680 0 0 WET
0000007ea79d8e80 3600 1 WEST
0000008250e2f680 0 0 WET
00000085fa285e80 3600 1 WEST
00000089a36dc680 0 0 WET
0000008d4cb32e80 3600 1 WEST
00000090f5f89680 0 0 WET
000000949f3dfe80 3600 1 WEST
000000986c8fea80 0 0 WET
0000009c15d55280 3600 1 WEST
0000009fbf1aba80 0 0 WET
000000a368602280 3600 1 WEST
000000a711a58a80 0 0 WET
000000aabaeaf280 3600 1 WEST
000000ae64305a80 0 0 WET
000000b20d75c280 3600 1 WEST
000000b5b6bb2a80 0 0 WET
000000b960009280 3600 1 WEST
000000bd0945fa80 0 0 WET
000000c0d697e680 3600 1 WEST
000000c5100f5e80 0 0 WET
000000c82922b680 3600 1 WEST
000000cc629a2e80 0 0 WET
000000cf7bad8680 3600 1 WEST
000000d3b524fe80 0 0 WET
000000d6ce385680 3600 1 WEST
000000db2bbc5280 0 0 WET
000000de20c32680 3600 1 WEST
000000e27e472280 0 0 WET
000000e5734df680 3600 1 WEST
000000e9d0d1f280 0 0 WET
000000ece9e54a80 3600 1 WEST
000000f1235cc280 0 0 WET
000000f43c701a80 3600 1 WEST
000000f875e79280 0 0 WET
000000fb8efaea80 3600 1 WEST
000000ffec7ee680 0 0 WET
00000102e185ba80 3600 1 WEST
000001073f09b680 0 0 WET
0000010a34108a80 3600 1 WEST
0000010e91948680 0 0 WET
00000111869b5a80 3600 1 WEST
00000115e41f5680 0 0 WET
00000118fd32ae80 3600 1 WEST
0000011d36aa2680 0 0 WET
000001204fbd7e80 3600 1 WEST
000001248934f680 0 0 WET
00000127a2484e80 3600 1 WEST
0000012bffcc4a80 0 0 WET
0000012ef4d31e80 3600 1 WEST
0000013352571a80 0 0 WET
00000136475dee80 3600 1 WEST
0000013aa4e1ea80 0 0 WET
0000013dbdf54280 3600 1 WEST
00000141f76cba80 0 0 WET
0000014510801280 3600 1 WEST
0000014949f78a80 0 0 WET
0000014c630ae280 3600 1 WEST
000001509c825a80 0 0 WET
00000153b595b280 3600 1 WEST
000001581319ae80 0 0 WET
0000015b08208280 3600 1 WEST
0000015f65a47e80 0 0 WET
000001625aab5280 3600 1 WEST
00000166b82f4e80 0 0 WET
00000169d142a680 3600 1 WEST
0000016e0aba1e80 0 0 WET
0000017123cd7680 3600 1 WEST
000001755d44ee80 0 0 WET
0000017876584680 3600 1 WEST
0000017cd3dc4280 0 0 WET
0000017fc8e31680 3600 1 WEST
0000018426671280 0 0 WET
000001871b6de680 3600 1 WEST
0000018b78f1e280 0 0 WET
0000018e92053a80 3600 1 WEST
00000192cb7cb280 0 0 WET
00000195e4900a80 3600 1 WEST
0000019a1e078280 0 0 WET
0000019d371ada80 3600 1 WEST
000001a170925280 0 0 WET
000001a489a5aa80 3600 1 WEST
000001a8e729a680 0 0 WET
000001abdc307a80 3600 1 WEST
000001b039b47680 0 0 WET
000001b32ebb4a80 3600 1 WEST
000001b78c3f4680 0 0 WET
000001baa5529e80 3600 1 WEST
000001bedeca1680 0 0 WET
000001c1f7dd6e80 3600 1 WEST
000001c63154e680 0 0 WET
000001c94a683e80 3600 1 WEST
000001cda7ec3a80 0 0 WET
000001d09cf30e80 3600 1 WEST
000001d4fa770a80 0 0 WET
000001d7ef7dde80 3600 1 WEST
000001dc4d01da80 0 0 WET
000001df4208ae80 3600 1 WEST
000001e39f8caa80 0 0 WET
000001e6b8a00280 3600 1 WEST
000001eaf2177a80 0 0 WET
000001ee0b2ad280 3600 1 WEST
000001f244a24a80 0 0 WET
000001f55db5a280 3600 1 WEST
000001f9bb399e80 0 0 WET
000001fcb0407280 3600 1 WEST
000002010dc46e80 0 0 WET
0000020402cb4280 3600 1 WEST
00000208604f3e80 0 0 WET
0000020b79629680 3600 1 WEST
0000020fb2da0e80 0 0 WET
00000212cbed6680 3600 1 WEST
000002170564de80 0 0 WET
0000021a1e783680 3600 1 WEST
0000021e57efae80 0 0 WET
0000022171030680 3600 1 WEST
00000225ce870280 0 0 WET
00000228c38dd680 3600 1 WEST
0000022d2111d280 0 0 WET
000002301618a680 3600 1 WEST
00000234739ca280 0 0 WET
000002378caffa80 3600 1 WEST
0000023bc6277280 0 0 WET
0000023edf3aca80 3600 1 WEST
0000024318b24280 0 0 WET
0000024631c59a80 3600 1 WEST
0000024a8f499680 0 0 WET
0000024d84506a80 3600 1 WEST
00000251e1d46680 0 0 WET
00000254d6db3a80 3600 1 WEST
