=Atlantic/Stanley
8000000000000000 -13884 0 LMT
fffffdb4379d4660 -13884 0 SMT
fffffe5743140260 -14400 0 FKT
ffffff12edfa7e00 -10800 1 FKST
ffffff1672fc7380 -14400 0 FKT
ffffff1a40854e00 -10800 1 FKST
ffffff1dc5874380 -14400 0 FKT
ffffff21b71ca200 -10800 1 FKST
ffffff253c1e9780 -14400 0 FKT
ffffff2909a77200 -10800 1 FKST
ffffff2c8ea96780 -14400 0 FKT
ffffff305c324200 -10800 1 FKST
ffffff33e1343780 -14400 0 FKT
ffffff37aebd1200 -10800 1 FKST
00000061ee123b80 -7200 0 FKT
00000064e2e22100 -7200 1 FKST
0000006940661d00 -10800 0 FKT
0000006c11975b80 -7200 1 FKST
0000007092f0ed00 -10800 0 FKT
0000007363eb3d00 -14400 0 FKT
0000007364591a00 -10800 1 FKST
00000077c1a62780 -14400 0 FKT
0000007ab6e3ea00 -10800 1 FKST
0000007f1430f780 -14400 0 FKT
00000082096eba00 -10800 1 FKST
0000008666bbc780 -14400 0 FKT
000000895bf98a00 -10800 1 FKST
0000008db9469780 -14400 0 FKT
00000090ae845a00 -10800 1 FKST
000000952fddeb80 -14400 0 FKT
00000098010f2a00 -10800 1 FKST
0000009c8268bb80 -14400 0 FKT
0000009f77a67e00 -10800 1 FKST
000000a3d4f38b80 -14400 0 FKT
000000a6ca314e00 -10800 1 FKST
000000ab277e5b80 -14400 0 FKT
000000ae1cbc1e00 -10800 1 FKST
000000b27a092b80 -14400 0 FKT
000000b56f46ee00 -10800 1 FKST
000000b9cc93fb80 -14400 0 FKT
000000bcc1d1be00 -10800 1 FKST
000000c1432b4f80 -14400 0 FKT
000000c438691200 -10800 1 FKST
000000c895b61f80 -14400 0 FKT
000000cb8af3e200 -10800 1 FKST
000000cfe840ef80 -14400 0 FKT
000000d2dd7eb200 -10800 1 FKST
000000d73acbbf80 -14400 0 FKT
000000da30098200 -10800 1 FKST
000000de8d568f80 -14400 0 FKT
000000e182945200 -10800 1 FKST
000000e5e04f3c80 -14400 0 FKT
000000e8b1807b00 -10800 1 FKST
000000ed56e69080 -14400 0 FKT
000000f0040b4b00 -10800 1 FKST
000000f4a9716080 -14400 0 FKT
000000f77aa29f00 -10800 1 FKST
000000fbfbfc3080 -14400 0 FKT
000000fecd2d6f00 -10800 1 FKST
000001034e870080 -14400 0 FKT
000001061fb83f00 -10800 1 FKST
0000010aa111d080 -14400 0 FKT
0000010d72430f00 -10800 1 FKST
00000111f39ca080 -14400 0 FKT
00000114c4cddf00 -10800 1 FKST
000001196a33f480 -14400 0 FKT
0000011c3b653300 -10800 1 FKST
00000120bcbec480 -14400 0 FKT
000001238df00300 -10800 1 FKST
000001280f499480 -14400 0 FKT
0000012ae043e480 -10800 0 FKST
