=Australia/Adelaide
8000000000000000 33260 0 LMT
fffffdd9900f4620 32400 0 CST
fffffdf8be5d6d80 34200 0 CST
fffffe7a935648a0 37800 1 CST
fffffe7c3efc20c0 34200 0 CST
ffffff3242f6af40 37800 1 CST
ffffff3402c904c0 34200 0 CST
ffffff37ac455b40 37800 1 CST
ffffff3b5553d4c0 34200 0 CST
ffffff3f22dcaf40 37800 1 CST
ffffff42a7dea4c0 34200 0 CST
0000000755a75240 34200 0 CST
0000000d6e7c1340 37800 1 CST
0000000fd350d740 34200 0 CST
00000014c106e340 37800 1 CST
0000001749e82b40 34200 0 CST
0000001c1391b340 37800 1 CST
0000001e9c72fb40 34200 0 CST
00000023661c8340 37800 1 CST
00000025eefdcb40 34200 0 CST
0000002ab8a75340 37800 1 CST
0000002d65951f40 34200 0 CST
000000322f3ea740 37800 1 CST
00000034b81fef40 34200 0 CST
0000003981c97740 37800 1 CST
0000003c0aaabf40 34200 0 CST
00000040d4544740 37800 1 CST
000000435d358f40 34200 0 CST
0000004826df1740 37800 1 CST
0000004aafc05f40 34200 0 CST
0000004f7969e740 37800 1 CST
00000052024b2f40 34200 0 CST
00000056cbf4b740 37800 1 CST
0000005978e28340 34200 0 CST
0000005e428c0b40 37800 1 CST
00000060cb6d5340 34200 0 CST
000000659516db40 37800 1 CST
000000681df82340 34200 0 CST
0000006ce7a1ab40 37800 1 CST
0000006f7082f340 34200 0 CST
000000743a2c7b40 37800 1 CST
000000770b26cb40 34200 0 CST
0000007b68aac740 37800 1 CST
0000007e5db19b40 34200 0 CST
00000082df421b40 37800 1 CST
00000085d448ef40 34200 0 CST
0000008a55d96f40 37800 1 CST
0000008d26d3bf40 34200 0 CST
00000091a8643f40 37800 1 CST
00000094795e8f40 34200 0 CST
00000098faef0f40 37800 1 CST
0000009b83d05740 34200 0 CST
000000a04d79df40 37800 1 CST
000000a34280b340 34200 0 CST
000000a7a004af40 37800 1 CST
000000aa4cf27b40 34200 0 CST
000000af169c0340 37800 1 CST
000000b1e7965340 34200 0 CST
000000b66926d340 37800 1 CST
000000b95e2da740 34200 0 CST
000000bdbbb1a340 37800 1 CST
000000c0d4c4fb40 34200 0 CST
000000c50e3c7340 37800 1 CST
000000c8274fcb40 34200 0 CST
000000cc60c74340 37800 1 CST
000000cf79da9b40 34200 0 CST
000000d3b3521340 37800 1 CST
000000d6cc656b40 34200 0 CST
000000db29e96740 37800 1 CST
000000de1ef03b40 34200 0 CST
000000e27c743740 37800 1 CST
000000e5717b0b40 34200 0 CST
000000e9ceff0740 37800 1 CST
000000ece8125f40 34200 0 CST
000000f12189d740 37800 1 CST
000000f43a9d2f40 34200 0 CST
000000f87414a740 37800 1 CST
000000fb8d27ff40 34200 0 CST
000000ffeaabfb40 37800 1 CST
00000102dfb2cf40 34200 0 CST
000001073d36cb40 37800 1 CST
0000010a564a2340 34200 0 CST
0000010e8fc19b40 37800 1 CST
0000011184c86f40 34200 0 CST
00000115e24c6b40 37800 1 CST
000001191f6c4740 34200 0 CST
0000011cc8b1af40 37800 1 CST
0000012071f71740 34200 0 CST
000001241b3c7f40 37800 1 CST
00000127c481e740 34200 0 CST
0000012b6dc74f40 37800 1 CST
0000012f170cb740 34200 0 CST
00000132c0521f40 37800 1 CST
0000013669978740 34200 0 CST
0000013a36e97340 37800 1 CST
0000013de02edb40 34200 0 CST
0000014189744340 37800 1 CST
0000014532b9ab40 34200 0 CST
00000148dbff1340 37800 1 CST
0000014c85447b40 34200 0 CST
000001502e89e340 37800 1 CST
00000153d7cf4b40 34200 0 CST
000001578114b340 37800 1 CST
