=Australia/Brisbane
8000000000000000 36728 0 LMT
fffffdd8f0353740 36000 0 EST
fffffe7a933ad160 39600 1 EST
fffffe7c3ee0a980 36000 0 EST
ffffff3242db3800 39600 1 EST
ffffff3402ad8d80 36000 0 EST
ffffff37ac29e400 39600 1 EST
ffffff3b55385d80 36000 0 EST
ffffff3f22c13800 39600 1 EST
ffffff42a7c32d80 36000 0 EST
00000007558bdb00 36000 0 EST
0000000d6e609c00 39600 1 EST
0000000fd3356000 36000 0 EST
00000091a848c800 39600 1 EST
00000094312a1000 36000 0 EST
00000098fad39800 39600 1 EST
0000009b83b4e000 36000 0 EST
000000a04d5e6800 39600 1 EST
000000a2d63fb000 36000 0 EST
