=Australia/Eucla
8000000000000000 30928 0 LMT
fffffddfa899bf80 31500 0 CWST
fffffe7a937f7b80 35100 1 CWST
fffffe7c3f2553a0 31500 0 CWST
ffffff32431fe220 35100 1 CWST
ffffff3402f237a0 31500 0 CWST
ffffff37ac6e8e20 35100 1 CWST
ffffff3b557d07a0 31500 0 CWST
ffffff3d3e4b4ea0 35100 0 CWST
000000236645b620 35100 1 CWST
00000025ef26fe20 31500 0 CWST
0000006595400e20 35100 1 CWST
000000681e215620 31500 0 CWST
000000a0b9c89e20 35100 1 CWST
000000a2d6845a20 31500 0 CWST
0000010f44296220 35100 1 CWST
0000011184f1a220 31500 0 CWST
00000115e2759e20 35100 1 CWST
00000118fb88f620 31500 0 CWST
0000011d35006e20 35100 1 CWST
000001204e13c620 31500 0 CWST
