=Australia/Hobart
8000000000000000 35356 0 LMT
fffffdddd3b37aa0 36000 0 EST
fffffe78b9deb400 39600 1 EST
fffffe7b32a81c80 39600 0 EST
fffffe7c3ee0a980 36000 0 EST
ffffff3242db3800 39600 1 EST
ffffff3402ad8d80 36000 0 EST
ffffff37ac29e400 39600 1 EST
ffffff3b55385d80 36000 0 EST
ffffff3f22c13800 39600 1 EST
ffffff42a7c32d80 36000 0 EST
ffffffe9f1a0cf00 36000 0 EST
ffffffef6ff6c800 39600 1 EST
fffffff3193c3000 36000 0 EST
fffffff752b3a800 39600 1 EST
fffffff9ffa17400 36000 0 EST
fffffffea53e7800 39600 1 EST
00000001522c4400 36000 0 EST
00000005f7c94800 39600 1 EST
00000008c8c39800 36000 0 EST
0000000d6e609c00 39600 1 EST
0000000fd3356000 36000 0 EST
00000014c0eb6c00 39600 1 EST
0000001749ccb400 36000 0 EST
0000001c13763c00 39600 1 EST
0000001e9c578400 36000 0 EST
0000002366010c00 39600 1 EST
00000025eee25400 36000 0 EST
0000002ab88bdc00 39600 1 EST
0000002d6579a800 36000 0 EST
000000322f233000 39600 1 EST
00000034b8047800 36000 0 EST
0000003981ae0000 39600 1 EST
0000003c0a8f4800 36000 0 EST
00000040d438d000 39600 1 EST
000000435d1a1800 36000 0 EST
0000004826c3a000 39600 1 EST
0000004aafa4e800 36000 0 EST
0000004f794e7000 39600 1 EST
00000052022fb800 36000 0 EST
00000056cbd94000 39600 1 EST
00000059e4ec9800 36000 0 EST
0000005e42709400 39600 1 EST
0000006137776800 36000 0 EST
0000006594fb6400 39600 1 EST
000000681ddcac00 36000 0 EST
0000006ce7863400 39600 1 EST
0000006f70677c00 36000 0 EST
000000743a110400 39600 1 EST
00000076c2f24c00 36000 0 EST
0000007b688f5000 39600 1 EST
0000007e5d962400 36000 0 EST
00000082df26a400 39600 1 EST
00000085d42d7800 36000 0 EST
0000008a55bdf800 39600 1 EST
0000008d26b84800 36000 0 EST
00000091a848c800 39600 1 EST
0000009479431800 36000 0 EST
00000098fad39800 39600 1 EST
0000009c13e6f000 36000 0 EST
0000009fe138dc00 39600 1 EST
000000a36671c000 36000 0 EST
000000a733c3ac00 39600 1 EST
000000aab8fc9000 36000 0 EST
000000ae864e7c00 39600 1 EST
000000b20b876000 36000 0 EST
000000b5d8d94c00 39600 1 EST
000000b95e123000 36000 0 EST
000000bd2b641c00 39600 1 EST
000000c0d4a98400 36000 0 EST
000000c4a1fb7000 39600 1 EST
000000c827345400 36000 0 EST
000000cbf4864000 39600 1 EST
000000cf79bf2400 36000 0 EST
000000d347111000 39600 1 EST
000000d6cc49f400 36000 0 EST
000000da999be000 39600 1 EST
000000de1ed4c400 36000 0 EST
000000e137e81c00 39600 1 EST
000000e5715f9400 36000 0 EST
000000e962be0400 39600 1 EST
000000ece7f6e800 36000 0 EST
000000f0b548d400 39600 1 EST
000000f43a81b800 36000 0 EST
000000f807d3a400 39600 1 EST
000000fb8d0c8800 36000 0 EST
000000ff5a5e7400 39600 1 EST
00000102df975800 36000 0 EST
00000106ace94400 39600 1 EST
0000010a562eac00 36000 0 EST
0000010dff741400 39600 1 EST
0000011184acf800 36000 0 EST
00000115760b6800 39600 1 EST
000001191f50d000 36000 0 EST
0000011cc8963800 39600 1 EST
0000012071dba000 36000 0 EST
000001241b210800 39600 1 EST
00000127c4667000 36000 0 EST
0000012b6dabd800 39600 1 EST
0000012f16f14000 36000 0 EST
00000132c036a800 39600 1 EST
00000136697c1000 36000 0 EST
0000013a36cdfc00 39600 1 EST
0000013de0136400 36000 0 EST
000001418958cc00 39600 1 EST
00000145329e3400 36000 0 EST
00000148dbe39c00 39600 1 EST
0000014c85290400 36000 0 EST
000001502e6e6c00 39600 1 EST
00000153d7b3d400 36000 0 EST
0000015780f93c00 39600 1 EST
0000015b2a3ea400 36000 0 EST
0000015ed3840c00 39600 1 EST
000001627cc97400 36000 0 EST
000001664a1b6000 39600 1 EST
00000169f360c800 36000 0 EST
0000016d9ca63000 39600 1 EST
0000017145eb9800 36000 0 EST
00000174ef310000 39600 1 EST
0000017898766800 36000 0 EST
0000017c41bbd000 39600 1 EST
0000017feb013800 36000 0 EST
000001839446a000 39600 1 EST
000001873d8c0800 36000 0 EST
0000018ae6d17000 39600 1 EST
0000018eb4235c00 36000 0 EST
000001925d68c400 39600 1 EST
0000019606ae2c00 36000 0 EST
00000199aff39400 39600 1 EST
0000019d5938fc00 36000 0 EST
000001a1027e6400 39600 1 EST
000001a4abc3cc00 36000 0 EST
000001a855093400 39600 1 EST
000001abfe4e9c00 36000 0 EST
000001afa7940400 39600 1 EST
000001b350d96c00 36000 0 EST
000001b71e2b5800 39600 1 EST
000001bac770c000 36000 0 EST
000001be70b62800 39600 1 EST
000001c219fb9000 36000 0 EST
000001c5c340f800 39600 1 EST
000001c96c866000 36000 0 EST
000001cd15cbc800 39600 1 EST
000001d0bf113000 36000 0 EST
000001d468569800 39600 1 EST
000001d8119c0000 36000 0 EST
000001dbbae16800 39600 1 EST
000001df6426d000 36000 0 EST
000001e33178bc00 39600 1 EST
000001e6dabe2400 36000 0 EST
000001ea84038c00 39600 1 EST
000001ee2d48f400 36000 0 EST
000001f1d68e5c00 39600 1 EST
000001f57fd3c400 36000 0 EST
000001f929192c00 39600 1 EST
000001fcd25e9400 36000 0 EST
000002007ba3fc00 39600 1 EST
0000020424e96400 36000 0 EST
00000207f23b5000 39600 1 EST
0000020b9b80b800 36000 0 EST
0000020f44c62000 39600 1 EST
00000212ee0b8800 36000 0 EST
000002169750f000 39600 1 EST
0000021a40965800 36000 0 EST
0000021de9dbc000 39600 1 EST
0000022193212800 36000 0 EST
000002253c669000 39600 1 EST
00000228e5abf800 36000 0 EST
0000022c8ef16000 39600 1 EST
000002303836c800 36000 0 EST
000002340588b400 39600 1 EST
00000237aece1c00 36000 0 EST
0000023b58138400 39600 1 EST
0000023f0158ec00 36000 0 EST
00000242aa9e5400 39600 1 EST
0000024653e3bc00 36000 0 EST
00000249fd292400 39600 1 EST
0000024da66e8c00 36000 0 EST
