=Australia/Lord_Howe
8000000000000000 38180 0 LMT
fffffdd98fc43360 36000 0 EST
0000005201c1db00 37800 0 LHST
00000056cbbdc8c0 41400 1 LHST
000000597874a640 37800 0 LHST
0000005e42551cc0 41400 1 LHST
00000060caff7640 37800 0 LHST
0000006594dfecc0 41400 1 LHST
000000681d8a4640 37800 0 LHST
0000006ce76abcc0 41400 1 LHST
0000006f70151640 37800 0 LHST
0000007439f58cc0 39600 1 LHST
000000770ad46580 37800 0 LHST
0000007b6873d8c0 39600 1 LHST
0000007e5d5f3580 37800 0 LHST
00000082df0b2cc0 39600 1 LHST
00000085d3f68980 37800 0 LHST
0000008a55a280c0 39600 1 LHST
0000008d26815980 37800 0 LHST
00000091a82d50c0 39600 1 LHST
0000009430f32180 37800 0 LHST
00000098fab820c0 39600 1 LHST
0000009b837df180 37800 0 LHST
000000a04d42f0c0 39600 1 LHST
000000a2d608c180 37800 0 LHST
000000a79fcdc0c0 39600 1 LHST
000000aa4ca01580 37800 0 LHST
000000af166514c0 39600 1 LHST
000000b19f2ae580 37800 0 LHST
000000b668efe4c0 39600 1 LHST
000000b8f1b5b580 37800 0 LHST
000000bdbb7ab4c0 39600 1 LHST
000000c0d4729580 37800 0 LHST
000000c50e0584c0 39600 1 LHST
000000c826fd6580 37800 0 LHST
000000cc609054c0 39600 1 LHST
000000cf79883580 37800 0 LHST
000000d3b31b24c0 39600 1 LHST
000000d6cc130580 37800 0 LHST
000000db29b278c0 39600 1 LHST
000000de1e9dd580 37800 0 LHST
000000e137cca4c0 39600 1 LHST
000000e57128a580 37800 0 LHST
000000e9cec818c0 39600 1 LHST
000000ece7bff980 37800 0 LHST
000000f12152e8c0 39600 1 LHST
000000f43a4ac980 37800 0 LHST
000000f873ddb8c0 39600 1 LHST
000000fb8cd59980 37800 0 LHST
000000ffea750cc0 39600 1 LHST
00000102df606980 37800 0 LHST
000001073cffdcc0 39600 1 LHST
0000010a55f7bd80 37800 0 LHST
0000010e8f8aacc0 39600 1 LHST
0000011184760980 37800 0 LHST
00000115e2157cc0 39600 1 LHST
000001191f19e180 37800 0 LHST
0000011cc87ac0c0 39600 1 LHST
0000012071a4b180 37800 0 LHST
000001241b0590c0 39600 1 LHST
00000127c42f8180 37800 0 LHST
0000012b6d9060c0 39600 1 LHST
0000012f16ba5180 37800 0 LHST
00000132c01b30c0 39600 1 LHST
0000013669452180 37800 0 LHST
0000013a36b284c0 39600 1 LHST
0000013ddfdc7580 37800 0 LHST
