=Australia/Perth
8000000000000000 27804 0 LMT
fffffddfa8c96aa0 28800 0 WST
fffffe7a93a8ae60 32400 1 WST
fffffe7c3f4e8680 28800 0 WST
ffffff3243491500 32400 1 WST
ffffff34031b6a80 28800 0 WST
ffffff37ac97c100 32400 1 WST
ffffff3b55a63a80 28800 0 WST
ffffff3d3e748180 32400 0 WST
00000023666ee900 32400 1 WST
00000025ef503100 28800 0 WST
0000006595694100 32400 1 WST
000000681e4a8900 28800 0 WST
000000a0b9f1d100 32400 1 WST
000000a2d6ad8d00 28800 0 WST
0000010f44529500 32400 1 WST
00000111851ad500 28800 0 WST
00000115e29ed100 32400 1 WST
00000118fbb22900 28800 0 WST
0000011d3529a100 32400 1 WST
000001204e3cf900 28800 0 WST
