=Europe/Dublin
8000000000000000 -1500 0 LMT
fffffd6f08926b60 -1521 0 DMT
fffffe760f2d6e68 2079 1 IST
fffffe78bc1b3a68 0 0 GMT
fffffe7c8955f100 3600 1 BST
fffffe7fcb9c2900 0 0 GMT
fffffe8393c7b900 3600 1 BST
fffffe8766400100 0 0 GMT
fffffe8b0a5f0d00 3600 1 BST
fffffe8eb8cad100 0 0 GMT
fffffe925ce9dd00 3600 1 BST
fffffe969b87b100 0 0 GMT
fffffe99d3813100 3600 1 BST
fffffe9d81ecf500 0 0 GMT
fffffe9ecb161800 0 0 IST
fffffea101ff7d00 3600 1 IST
fffffea4f35ded00 0 0 IST
fffffea8e4bc5d00 3600 1 IST
fffffeabd9c33100 0 0 IST
fffffeb0133aa900 3600 1 IST
fffffeb3505a8500 0 0 IST
fffffeb789d1fd00 3600 1 IST
fffffebaeafe5d00 0 0 IST
fffffebedc5ccd00 3600 1 IST
fffffec23d892d00 0 0 IST
fffffec60adb1900 3600 1 IST
fffffec99013fd00 0 0 IST
fffffecda57ef100 3600 1 IST
fffffed106ab5100 0 0 IST
fffffed4f809c100 3600 1 IST
fffffed859362100 0 0 IST
fffffedc26880d00 3600 1 IST
fffffedfabc0f100 0 0 IST
fffffee39d1f6100 3600 1 IST
fffffee6fe4bc100 0 0 IST
fffffeeaefaa3100 3600 1 IST
fffffeee50d69100 0 0 IST
fffffef21e287d00 3600 1 IST
fffffef5c76de500 0 0 IST
fffffef9b8cc5500 3600 1 IST
fffffefd19f8b500 0 0 IST
ffffff00e74aa100 3600 1 IST
ffffff046c838500 0 0 IST
ffffff085de1f500 3600 1 IST
ffffff0bbf0e5500 0 0 IST
ffffff0fb06cc500 3600 1 IST
ffffff1311992500 0 0 IST
ffffff16deeb1100 3600 1 IST
ffffff1a6423f500 0 0 IST
ffffff1e55826500 3600 1 IST
ffffff22b3066100 0 0 IST
ffffff24ab7eaa80 3600 1 IST
ffffff55405c8e80 0 0 GMT
ffffff587db35900 3600 1 IST
ffffff5d23196e80 0 0 GMT
ffffff60847cbd00 3600 0 IST
ffffff6475db2d00 0 0 IST
ffffff678eee8500 3600 1 IST
ffffff6bc865fd00 0 0 IST
ffffff6f29925d00 3600 1 IST
ffffff72f6e44900 0 0 IST
ffffff767c1d2d00 3600 1 IST
ffffff7a496f1900 0 0 IST
ffffff7df2b48100 3600 1 IST
ffffff81c0066d00 0 0 IST
ffffff85453f5100 3600 1 IST
ffffff88a66bb100 0 0 IST
ffffff8c73bd9d00 3600 1 IST
ffffff8ff8f68100 0 0 IST
ffffff93ea54f100 3600 1 IST
ffffff974b815100 0 0 IST
ffffff9b60ec4500 3600 1 IST
ffffff9ec218a500 0 0 IST
ffffffa28f6a9100 3600 1 IST
ffffffa614a37500 0 0 IST
ffffffaa0601e500 3600 1 IST
ffffffad672e4500 0 0 IST
ffffffb1588cb500 3600 1 IST
ffffffb4b9b91500 0 0 IST
ffffffb8870b0100 3600 1 IST
ffffffbc0c43e500 0 0 IST
ffffffbf917cc900 3600 1 IST
ffffffc3ef00c500 0 0 IST
ffffffc6e4079900 3600 1 IST
ffffffcb418b9500 0 0 IST
ffffffce5a9eed00 3600 1 IST
ffffffd294166500 0 0 IST
ffffffd5891d3900 3600 1 IST
ffffffd9e6a13500 0 0 IST
ffffffdcdba80900 3600 1 IST
ffffffe1392c0500 0 0 IST
ffffffe42e32d900 3600 1 IST
ffffffe88bb6d500 0 0 IST
ffffffeb80bda900 3600 1 IST
fffffff0024e2900 0 0 IST
fffffff243166900 3600 1 IST
fffffff7546b1c00 3600 0 IST
0000000d7085ed00 0 0 IST
0000001041803d00 3600 1 IST
00000014c310bd00 0 0 IST
00000017940b0d00 3600 1 IST
0000001c159b8d00 0 0 IST
0000001ee695dd00 3600 1 IST
0000002368265d00 0 0 IST
000000263920ad00 3600 1 IST
0000002abab12d00 0 0 IST
0000002dafb80100 3600 1 IST
000000320d3bfd00 0 0 IST
000000350242d100 3600 1 IST
000000395fc6cd00 0 0 IST
0000003c54cda100 3600 1 IST
00000040d65e2100 0 0 IST
00000043a7587100 3600 1 IST
0000004828e8f100 0 0 IST
0000004af9e34100 3600 1 IST
0000004f7b73c100 0 0 IST
0000005294502a80 3600 1 IST
00000056cdc7a280 0 0 IST
00000059e6dafa80 3600 1 IST
0000005e20527280 0 0 IST
000000613965ca80 3600 1 IST
0000006572dd4280 0 0 IST
000000688bf09a80 3600 1 IST
0000006ce9749680 0 0 IST
