=Europe/Istanbul
8000000000000000 6952 0 LMT
fffffd6aba008bc0 7016 0 IMT
fffffe4ca2b759c0 7200 0 EET
fffffe75a73b4f00 10800 1 EEST
fffffe78baf15c80 7200 0 EET
fffffe925c0e2300 10800 1 EEST
fffffe969a750880 7200 0 EET
fffffe99d2a57700 10800 1 EEST
fffffe9d80da4c80 7200 0 EET
fffffea10123c300 10800 1 EEST
fffffea4f24b4480 7200 0 EET
fffffeb0acddb700 10800 1 EEST
fffffeb382c77480 7200 0 EET
fffffeb7c6c29300 10800 1 EEST
fffffebada78a080 7200 0 EET
ffffff2733bb2700 10800 1 EEST
ffffff29270d1480 7200 0 EET
ffffff2a4cce7f00 10800 1 EEST
ffffff3036a53880 7200 0 EET
ffffff3413a12700 10800 1 EEST
ffffff38617b2080 7200 0 EET
ffffff4a25016300 10800 1 EEST
ffffff4df21c6080 7200 0 EET
ffffff52b1b01f00 10800 1 EEST
ffffff5525c10880 7200 0 EET
ffffff5931163300 10800 1 EEST
ffffff5c920ba480 7200 0 EET
ffffff6083a10300 10800 1 EEST
ffffff63e4967480 7200 0 EET
ffffff67b21f4f00 10800 1 EEST
ffffff6b37214480 7200 0 EET
ffffff6f3829b700 10800 1 EEST
ffffff72adb89880 7200 0 EET
ffffff769f4df700 10800 1 EEST
ffffff7a0569c480 7200 0 EET
ffffffc923f41f00 10800 1 EEST
ffffffcad979bc80 7200 0 EET
ffffffd69e58e700 10800 1 EEST
ffffffd969f5ec80 7200 0 EET
0000000273d9fb00 10800 1 EEST
000000058cb66480 7200 0 EET
00000009c664cb00 10800 1 EEST
0000000cdf413480 7200 0 EET
000000113cfc1f00 10800 1 EEST
0000001455d88880 7200 0 EET
000000191fefed80 10800 1 EEST
0000001c393a3400 7200 0 EET
0000001f2e410800 10800 1 EEST
000000238c32e100 7200 0 EET
00000026805dfb00 10800 1 EEST
0000002ab99e8480 7200 0 EET
0000002f21a62700 10800 1 EEST
000000323035d880 7200 0 EET
0000003549801f00 10800 1 EEST
000000393aa7a080 7200 0 EET
0000003c9c0aef00 10800 1 EEST
000000408d327080 14400 0 TRST
00000043eeccad80 14400 1 TRST
00000047e4acae00 10800 0 TRT
0000004b659af000 14400 1 TRST
0000004f37377e00 10800 0 TRT
0000005294193c00 14400 1 TRST
0000005689c24e00 10800 0 TRT
00000059e6a40c00 14400 1 TRST
0000005ddc4d1e00 10800 0 TRT
00000063c16b5880 14400 1 TRST
0000006505a50e00 10800 0 TRT
0000007068ab6480 7200 0 EET
0000007068e25300 10800 1 EEST
00000073a5cb4080 7200 0 EET
0000007754dbd000 10800 1 EEST
0000007afe213800 7200 0 EET
0000007ea766a000 10800 1 EEST
0000008250ac0800 7200 0 EET
00000085f9f17000 10800 1 EEST
00000089a336d800 7200 0 EET
0000008d4c7c4000 10800 1 EEST
00000090f5c1a800 7200 0 EET
000000949f071000 10800 1 EEST
000000986c58fc00 7200 0 EET
0000009c15677580 10800 1 EEST
0000009fbeacdd80 7200 0 EET
000000a367f24580 10800 1 EEST
000000a71137ad80 7200 0 EET
000000aaba7d1580 10800 1 EEST
000000ae63c27d80 7200 0 EET
000000b20d07e580 10800 1 EEST
000000b5b64d4d80 7200 0 EET
000000b95f92b580 10800 1 EEST
000000bd08d81d80 7200 0 EET
000000c0d62a0980 10800 1 EEST
000000c50fa18180 7200 0 EET
000000c828b4d980 10800 1 EEST
000000cc622c5180 7200 0 EET
000000cf7b3fa980 10800 1 EEST
000000d3b4b72180 7200 0 EET
000000d6cdca7980 10800 1 EEST
000000db2b4e7580 7200 0 EET
000000de20554980 10800 1 EEST
000000e27dd94580 7200 0 EET
000000e572e01980 10800 1 EEST
000000e9d0641580 7200 0 EET
000000ece9776d80 10800 1 EEST
000000f122eee580 7200 0 EET
000000f43c023d80 10800 1 EEST
000000f87579b580 7200 0 EET
000000fb8e8d0d80 10800 1 EEST
000000ffec110980 7200 0 EET
00000102e117dd80 10800 1 EEST
000001073e9bd980 7200 0 EET
0000010a33a2ad80 10800 1 EEST
0000010e9126a980 7200 0 EET
0000010fda86bb00 7200 0 EET
00000111869b5a80 10800 1 EEST
00000115e41f5680 7200 0 EET
00000118fd32ae80 10800 1 EEST
0000011d36aa2680 7200 0 EET
000001204fbd7e80 10800 1 EEST
000001248934f680 7200 0 EET
00000127a2484e80 10800 1 EEST
0000012bffcc4a80 7200 0 EET
0000012ef4d31e80 7200 0 EET
0000012ef9f97a80 10800 0 EEST
0000013352571a80 7200 0 EET
00000136475dee80 10800 1 EEST
0000013aa4e1ea80 7200 0 EET
0000013dbdf54280 10800 1 EEST
00000141f76cba80 7200 0 EET
0000014510801280 10800 1 EEST
0000014949f78a80 7200 0 EET
0000014c630ae280 10800 1 EEST
000001509c825a80 7200 0 EET
00000153b595b280 10800 1 EEST
000001581319ae80 7200 0 EET
0000015b08208280 10800 1 EEST
0000015f65a47e80 7200 0 EET
000001625aab5280 10800 1 EEST
00000166b82f4e80 7200 0 EET
00000169d142a680 10800 1 EEST
0000016e0aba1e80 7200 0 EET
0000017123cd7680 10800 1 EEST
000001755d44ee80 7200 0 EET
0000017876584680 10800 1 EEST
0000017cd3dc4280 7200 0 EET
0000017fc8e31680 10800 1 EEST
0000018426671280 7200 0 EET
000001871b6de680 10800 1 EEST
0000018b78f1e280 7200 0 EET
0000018e92053a80 10800 1 EEST
00000192cb7cb280 7200 0 EET
00000195e4900a80 10800 1 EEST
0000019a1e078280 7200 0 EET
0000019d371ada80 10800 1 EEST
000001a170925280 7200 0 EET
000001a489a5aa80 10800 1 EEST
000001a8e729a680 7200 0 EET
000001abdc307a80 10800 1 EEST
000001b039b47680 7200 0 EET
000001b32ebb4a80 10800 1 EEST
000001b78c3f4680 7200 0 EET
000001baa5529e80 10800 1 EEST
000001bedeca1680 7200 0 EET
000001c1f7dd6e80 10800 1 EEST
000001c63154e680 7200 0 EET
000001c94a683e80 10800 1 EEST
000001cda7ec3a80 7200 0 EET
000001d09cf30e80 10800 1 EEST
000001d4fa770a80 7200 0 EET
000001d7ef7dde80 10800 1 EEST
000001dc4d01da80 7200 0 EET
000001df4208ae80 10800 1 EEST
000001e39f8caa80 7200 0 EET
000001e6b8a00280 10800 1 EEST
000001eaf2177a80 7200 0 EET
000001ee0b2ad280 10800 1 EEST
000001f244a24a80 7200 0 EET
000001f55db5a280 10800 1 EEST
000001f9bb399e80 7200 0 EET
000001fcb0407280 10800 1 EEST
000002010dc46e80 7200 0 EET
0000020402cb4280 10800 1 EEST
00000208604f3e80 7200 0 EET
0000020b79629680 10800 1 EEST
0000020fb2da0e80 7200 0 EET
00000212cbed6680 10800 1 EEST
000002170564de80 7200 0 EET
0000021a1e783680 10800 1 EEST
0000021e57efae80 7200 0 EET
0000022171030680 10800 1 EEST
00000225ce870280 7200 0 EET
00000228c38dd680 10800 1 EEST
0000022d2111d280 7200 0 EET
000002301618a680 10800 1 EEST
00000234739ca280 7200 0 EET
000002378caffa80 10800 1 EEST
0000023bc6277280 7200 0 EET
0000023edf3aca80 10800 1 EEST
0000024318b24280 7200 0 EET
0000024631c59a80 10800 1 EEST
0000024a8f499680 7200 0 EET
0000024d84506a80 10800 1 EEST
00000251e1d46680 7200 0 EET
00000254d6db3a80 10800 1 EEST
