=Europe/London
8000000000000000 -75 0 LMT
fffffc7efb6e40f8 0 0 GMT
fffffe760f163900 3600 1 BST
fffffe78bc040500 0 0 GMT
fffffe7c8955f100 3600 1 BST
fffffe7fcb9c2900 0 0 GMT
fffffe8393c7b900 3600 1 BST
fffffe8766400100 0 0 GMT
fffffe8b0a5f0d00 3600 1 BST
fffffe8eb8cad100 0 0 GMT
fffffe925ce9dd00 3600 1 BST
fffffe969b87b100 0 0 GMT
fffffe99d3813100 3600 1 BST
fffffe9d81ecf500 0 0 GMT
fffffea101ff7d00 3600 1 BST
fffffea4f35ded00 0 0 GMT
fffffea8e4bc5d00 3600 1 BST
fffffeabd9c33100 0 0 GMT
fffffeb0133aa900 3600 1 BST
fffffeb3505a8500 0 0 GMT
fffffeb789d1fd00 3600 1 BST
fffffebaeafe5d00 0 0 GMT
fffffebedc5ccd00 3600 1 BST
fffffec23d892d00 0 0 GMT
fffffec60adb1900 3600 1 BST
fffffec99013fd00 0 0 GMT
fffffecda57ef100 3600 1 BST
fffffed106ab5100 0 0 GMT
fffffed4f809c100 3600 1 BST
fffffed859362100 0 0 GMT
fffffedc26880d00 3600 1 BST
fffffedfabc0f100 0 0 GMT
fffffee39d1f6100 3600 1 BST
fffffee6fe4bc100 0 0 GMT
fffffeeaefaa3100 3600 1 BST
fffffeee50d69100 0 0 GMT
fffffef21e287d00 3600 1 BST
fffffef5c76de500 0 0 GMT
fffffef9b8cc5500 3600 1 BST
fffffefd19f8b500 0 0 GMT
ffffff00e74aa100 3600 1 BST
ffffff046c838500 0 0 GMT
ffffff085de1f500 3600 1 BST
ffffff0bbf0e5500 0 0 GMT
ffffff0fb06cc500 3600 1 BST
ffffff1311992500 0 0 GMT
ffffff16deeb1100 3600 1 BST
ffffff1a6423f500 0 0 GMT
ffffff1e55826500 3600 1 BST
ffffff22b3066100 0 0 GMT
ffffff24abb59900 3600 1 BST
ffffff2d6686a280 7200 1 BDST
ffffff2f5f35da80 3600 1 BST
ffffff3428df6280 7200 1 BDST
ffffff36b1c0aa80 3600 1 BST
ffffff3b7b6a3280 7200 1 BDST
ffffff3e2857fe80 3600 1 BST
ffffff42cdf50280 7200 1 BDST
ffffff462f216280 3600 1 BST
ffffff4a25a62e80 7200 1 BDST
ffffff4c3d3b8e80 3600 1 BST
ffffff4dee08ad00 0 0 GMT
ffffff51bb5a9900 3600 1 BST
ffffff5540937d00 0 0 GMT
ffffff587db35900 3600 1 BST
ffffff590dae7a80 7200 1 BDST
ffffff5b72833e80 3600 1 BST
ffffff5d23505d00 0 0 GMT
ffffff5fd03e2900 3600 1 BST
ffffff6475db2d00 0 0 GMT
ffffff678eee8500 3600 1 BST
ffffff6bc865fd00 0 0 GMT
ffffff6f29925d00 3600 1 BST
ffffff72f6e44900 0 0 GMT
ffffff767c1d2d00 3600 1 BST
ffffff7a496f1900 0 0 GMT
ffffff7df2b48100 3600 1 BST
ffffff81c0066d00 0 0 GMT
ffffff85453f5100 3600 1 BST
ffffff88a66bb100 0 0 GMT
ffffff8c73bd9d00 3600 1 BST
ffffff8ff8f68100 0 0 GMT
ffffff93ea54f100 3600 1 BST
ffffff974b815100 0 0 GMT
ffffff9b60ec4500 3600 1 BST
