=Europe/Minsk
8000000000000000 6616 0 LMT
fffffd6aba05ac40 6600 0 MMT
fffffeb07440eac0 7200 0 EET
fffffedd89031f00 10800 0 MSK
ffffff2e80e8ac80 3600 0 CET
ffffff38677d3680 3600 0 CET
ffffff3b5c840a80 7200 1 CEST
ffffff3f29d5f680 3600 0 CET
ffffff42d31b5e80 7200 1 CEST
ffffff44a7503580 10800 0 MSD
00000052a2e78480 14400 1 MSD
00000056511c5a00 10800 0 MSK
00000059fa98b080 14400 1 MSD
0000005da8cd8600 10800 0 MSK
000000615249dc80 14400 1 MSD
00000065007eb200 10800 0 MSK
00000068af216480 14400 1 MSD
0000006c58d4a980 10800 0 MSK
00000070021a1180 14400 1 MSD
00000073ab5f7980 10800 0 MSK
0000007754a4e180 14400 1 MSD
0000007afdea4980 10800 0 MSK
0000007ea72fb180 14400 1 MSD
0000008250751980 10800 0 MSK
00000085f9ba8180 14400 1 MSD
00000089a2ffe980 10800 0 MSK
0000008d4c455180 14400 1 MSD
00000090f58ab980 10800 0 MSK
00000092f2f27080 10800 0 MSK
0000009c15677580 10800 1 EEST
0000009fbee3cc00 7200 0 EET
000000a367bb5700 10800 1 EEST
000000a71100bf00 7200 0 EET
000000aabab40400 10800 1 EEST
000000ae63f96c00 7200 0 EET
000000b20d3ed400 10800 1 EEST
000000b5b6843c00 7200 0 EET
000000b95fc9a400 10800 1 EEST
000000bd090f0c00 7200 0 EET
000000c0d660f800 10800 1 EEST
000000c50fd87000 7200 0 EET
000000c828ebc800 10800 1 EEST
000000cc62634000 7200 0 EET
000000cf7b769800 10800 1 EEST
000000d3b4ee1000 7200 0 EET
000000d6ce016800 10800 1 EEST
000000db2b856400 7200 0 EET
000000de208c3800 10800 1 EEST
000000e27e103400 7200 0 EET
000000e573170800 10800 1 EEST
000000e9d09b0400 7200 0 EET
000000ece9ae5c00 10800 1 EEST
000000f12325d400 7200 0 EET
000000f43c392c00 10800 1 EEST
000000f875b0a400 7200 0 EET
000000fb8ec3fc00 10800 1 EEST
000000ffec47f800 7200 0 EET
00000102e14ecc00 10800 1 EEST
000001073ed2c800 7200 0 EET
0000010a33d99c00 10800 1 EEST
0000010e915d9800 7200 0 EET
0000011186646c00 10800 1 EEST
00000115e3e86800 7200 0 EET
00000118fcfbc000 10800 1 EEST
0000011d36733800 7200 0 EET
000001204f869000 10800 1 EEST
0000012488fe0800 7200 0 EET
00000127a2116000 10800 1 EEST
0000012bff955c00 7200 0 EET
0000012ef49c3000 10800 0 FET
