=Europe/Moscow
8000000000000000 9020 0 LMT
fffffd6ab9e0fda0 9000 0 MMT
fffffe76eb907bc0 9048 0 MMT
fffffe7e3de3a1c0 12648 1 MST
fffffe81d7b5f5c0 9048 0 MMT
fffffe84f5b8bb40 16248 1 MDST
fffffe871cf81dc0 12648 1 MST
fffffe8c4d69e740 16248 1 MDST
fffffe8ce8c46940 14400 0 MSD
fffffe8dd4e96a00 10800 0 MSK
fffffe98e02cb600 14400 1 MSD
fffffe998f0dff80 18000 1 MSD
fffffe9cdba0ef80 14400 1 MSD
fffffe9d7656a600 10800 0 MSK
fffffea4ce3ec080 7200 0 EET
fffffedd89031f00 10800 0 MSD
00000052a2e78480 14400 1 MSD
00000056511c5a00 10800 0 MSK
00000059fa98b080 14400 1 MSD
0000005da8cd8600 10800 0 MSK
000000615249dc80 14400 1 MSD
00000065007eb200 10800 0 MSK
00000068af216480 14400 1 MSD
0000006c58d4a980 10800 0 MSK
00000070021a1180 14400 1 MSD
00000073ab5f7980 10800 0 MSK
0000007754a4e180 14400 1 MSD
0000007afdea4980 10800 0 MSK
0000007ea72fb180 14400 1 MSD
0000008250751980 10800 0 MSK
00000085f9ba8180 14400 1 MSD
00000089a2ffe980 10800 0 MSK
0000008d4c455180 14400 1 MSD
00000090f58ab980 10800 0 MSK
000000949ed02180 14400 1 MSD
000000986c220d80 10800 0 MSK
0000009c15677580 7200 0 EEMMTT
0000009c159e6400 10800 1 EEST
0000009fbee3cc00 7200 0 EET
000000a1ffac0c00 10800 0 MSD
000000a3674d7a00 14400 1 MSD
000000a7105bf380 10800 0 MSK
000000aaba7d1580 14400 1 MSD
000000ae63c27d80 10800 0 MSK
000000b20d07e580 14400 1 MSD
000000b5b64d4d80 10800 0 MSK
000000b95f92b580 14400 1 MSD
000000bd08d81d80 10800 0 MSK
000000c0d62a0980 14400 1 MSD
000000c50fa18180 10800 0 MSK
000000c828b4d980 14400 1 MSD
000000cc622c5180 10800 0 MSK
000000cf7b3fa980 14400 1 MSD
000000d3b4b72180 10800 0 MSK
000000d6cdca7980 14400 1 MSD
000000db2b4e7580 10800 0 MSK
000000de20554980 14400 1 MSD
000000e27dd94580 10800 0 MSK
000000e572e01980 14400 1 MSD
000000e9d0641580 10800 0 MSK
000000ece9776d80 14400 1 MSD
000000f122eee580 10800 0 MSK
000000f43c023d80 14400 1 MSD
000000f87579b580 10800 0 MSK
000000fb8e8d0d80 14400 1 MSD
000000ffec110980 10800 0 MSK
00000102e117dd80 14400 1 MSD
000001073e9bd980 10800 0 MSK
0000010a33a2ad80 14400 1 MSD
0000010e9126a980 10800 0 MSK
00000111862d7d80 14400 1 MSD
00000115e3b17980 10800 0 MSK
00000118fcc4d180 14400 1 MSD
0000011d363c4980 10800 0 MSK
000001204f4fa180 14400 1 MSD
0000012488c71980 10800 0 MSK
00000127a1da7180 14400 1 MSD
0000012bff5e6d80 10800 0 MSK
0000012ef4654180 14400 0 MSK
