=Europe/Samara
8000000000000000 12036 0 LMT
fffffe8ce896d160 10800 0 SAMT
fffffedd88cc3080 14400 0 SAMT
fffffeff59775e00 14400 0 KUYMMTT
00000052a2b09600 18000 1 KUYST
0000005650e56b80 14400 0 KUYT
00000059fa61c200 18000 1 KUYST
0000005da8969780 14400 0 KUYT
000000615212ee00 18000 1 KUYST
000000650047c380 14400 0 KUYT
00000068aeea7600 18000 1 KUYST
0000006c589dbb00 14400 0 KUYT
0000007001e32300 18000 1 KUYST
00000073ab288b00 14400 0 KUYT
00000077546df300 18000 1 KUYST
0000007afdb35b00 14400 0 KUYT
0000007ea6f8c300 18000 1 KUYST
00000082503e2b00 14400 0 KUYT
00000085f9839300 18000 1 KUYST
00000089a2c8fb00 14400 0 KUYT
0000008d4c0e6300 10800 0 KUYMMTT
0000008d4c455180 14400 1 KUYST
00000090f58ab980 10800 0 KUYT
000000949ed02180 14400 1 KUYST
000000986c220d80 10800 0 KUYT
0000009c15677580 7200 0 KUYMMTT
0000009c159e6400 10800 1 KUYST
0000009fbee3cc00 10800 0 KUYT
000000a02b095800 14400 0 SAMT
000000a367168b80 18000 1 SAMST
000000a710250500 14400 0 SAMT
000000aaba462700 18000 1 SAMST
000000ae638b8f00 14400 0 SAMT
000000b20cd0f700 18000 1 SAMST
000000b5b6165f00 14400 0 SAMT
000000b95f5bc700 18000 1 SAMST
000000bd08a12f00 14400 0 SAMT
000000c0d5f31b00 18000 1 SAMST
000000c50f6a9300 14400 0 SAMT
000000c8287deb00 18000 1 SAMST
000000cc61f56300 14400 0 SAMT
000000cf7b08bb00 18000 1 SAMST
000000d3b4803300 14400 0 SAMT
000000d6cd938b00 18000 1 SAMST
000000db2b178700 14400 0 SAMT
000000de201e5b00 18000 1 SAMST
000000e27da25700 14400 0 SAMT
000000e572a92b00 18000 1 SAMST
000000e9d02d2700 14400 0 SAMT
000000ece9407f00 18000 1 SAMST
000000f122b7f700 14400 0 SAMT
000000f43bcb4f00 18000 1 SAMST
000000f87542c700 14400 0 SAMT
000000fb8e561f00 18000 1 SAMST
000000ffebda1b00 14400 0 SAMT
00000102e0e0ef00 18000 1 SAMST
000001073e64eb00 14400 0 SAMT
0000010a336bbf00 18000 1 SAMST
0000010e90efbb00 14400 0 SAMT
0000011185f68f00 18000 1 SAMST
00000115e37a8b00 14400 0 SAMT
00000118fc8de300 18000 1 SAMST
0000011d36055b00 14400 0 SAMT
000001204f18b300 18000 1 SAMST
0000012488902b00 14400 0 SAMT
00000127a1a38300 10800 0 SAMMMTT
00000127a1da7180 14400 1 SAMST
0000012bff5e6d80 10800 0 SAMT
0000012ef4654180 14400 0 SAMT
