=Europe/Sofia
8000000000000000 5596 0 LMT
fffffd6aba153ca0 7016 0 IMT
fffffdd84d2f15c0 7200 0 EET
ffffff38677d3680 3600 0 CET
ffffff3b5c840a80 7200 1 CEST
ffffff3f29d5f680 3600 0 CET
ffffff42d31b5e80 7200 1 CEST
ffffff467c60c680 3600 0 CET
ffffff4850959d80 3600 0 CET
ffffff4a25dd1d00 7200 0 EET
00000043ee5ed080 10800 0 EEST
000000479d018300 7200 0 EET
0000004b64f62480 10800 1 EEST
0000004eef8c5300 7200 0 EET
00000052b780f480 10800 1 EEST
000000563d27b580 7200 0 EET
0000005a0a0bc480 10800 1 EEST
0000005d8fb28580 10800 0 EEST
0000005d8fe97400 7200 0 EET
00000061392edc00 10800 1 EEST
00000064e2744400 7200 0 EET
000000688bb9ac00 10800 1 EEST
0000006c590b9800 7200 0 EET
0000007002510000 10800 1 EEST
00000073ab966800 7200 0 EET
0000007754dbd000 10800 1 EEST
0000007afe213800 7200 0 EET
0000007ea766a000 10800 1 EEST
0000008250ac0800 7200 0 EET
00000085f9f17000 10800 1 EEST
00000089a336d800 7200 0 EET
0000008d4c7c4000 10800 1 EEST
00000090f5c1a800 7200 0 EET
000000949f071000 10800 1 EEST
000000986c58fc00 7200 0 EET
0000009a4ada8b00 7200 0 EET
0000009c15308700 10800 1 EEST
0000009fbe3f0080 7200 0 EET
000000a367bb5700 10800 1 EEST
000000a710c9d080 7200 0 EET
000000aaba462700 10800 1 EEST
000000ae6354a080 7200 0 EET
000000b20cd0f700 10800 1 EEST
000000b5b5df7080 7200 0 EET
000000b95f5bc700 10800 1 EEST
000000bd086a4080 7200 0 EET
000000c0d5f31b00 10800 1 EEST
000000c50f33a480 7200 0 EET
000000c6634e4b00 7200 0 EET
000000c82922b680 10800 1 EEST
000000cc629a2e80 7200 0 EET
000000cf7bad8680 10800 1 EEST
000000d3b524fe80 7200 0 EET
000000d6ce385680 10800 1 EEST
000000db2bbc5280 7200 0 EET
000000de20c32680 10800 1 EEST
000000e27e472280 7200 0 EET
000000e5734df680 10800 1 EEST
000000e9d0d1f280 7200 0 EET
000000ece9e54a80 10800 1 EEST
000000f1235cc280 7200 0 EET
000000f43c701a80 10800 1 EEST
000000f875e79280 7200 0 EET
000000fb8efaea80 10800 1 EEST
000000ffec7ee680 7200 0 EET
00000102e185ba80 10800 1 EEST
000001073f09b680 7200 0 EET
0000010a34108a80 10800 1 EEST
0000010e91948680 7200 0 EET
00000111869b5a80 10800 1 EEST
00000115e41f5680 7200 0 EET
00000118fd32ae80 10800 1 EEST
0000011d36aa2680 7200 0 EET
000001204fbd7e80 10800 1 EEST
000001248934f680 7200 0 EET
00000127a2484e80 10800 1 EEST
0000012bffcc4a80 7200 0 EET
0000012ef4d31e80 10800 1 EEST
0000013352571a80 7200 0 EET
00000136475dee80 10800 1 EEST
0000013aa4e1ea80 7200 0 EET
0000013dbdf54280 10800 1 EEST
00000141f76cba80 7200 0 EET
0000014510801280 10800 1 EEST
0000014949f78a80 7200 0 EET
0000014c630ae280 10800 1 EEST
000001509c825a80 7200 0 EET
00000153b595b280 10800 1 EEST
000001581319ae80 7200 0 EET
0000015b08208280 10800 1 EEST
0000015f65a47e80 7200 0 EET
000001625aab5280 10800 1 EEST
00000166b82f4e80 7200 0 EET
00000169d142a680 10800 1 EEST
0000016e0aba1e80 7200 0 EET
0000017123cd7680 10800 1 EEST
000001755d44ee80 7200 0 EET
0000017876584680 10800 1 EEST
0000017cd3dc4280 7200 0 EET
0000017fc8e31680 10800 1 EEST
0000018426671280 7200 0 EET
000001871b6de680 10800 1 EEST
0000018b78f1e280 7200 0 EET
0000018e92053a80 10800 1 EEST
00000192cb7cb280 7200 0 EET
00000195e4900a80 10800 1 EEST
0000019a1e078280 7200 0 EET
0000019d371ada80 10800 1 EEST
000001a170925280 7200 0 EET
000001a489a5aa80 10800 1 EEST
000001a8e729a680 7200 0 EET
000001abdc307a80 10800 1 EEST
000001b039b47680 7200 0 EET
000001b32ebb4a80 10800 1 EEST
000001b78c3f4680 7200 0 EET
000001baa5529e80 10800 1 EEST
000001bedeca1680 7200 0 EET
000001c1f7dd6e80 10800 1 EEST
000001c63154e680 7200 0 EET
000001c94a683e80 10800 1 EEST
000001cda7ec3a80 7200 0 EET
000001d09cf30e80 10800 1 EEST
000001d4fa770a80 7200 0 EET
000001d7ef7dde80 10800 1 EEST
000001dc4d01da80 7200 0 EET
000001df4208ae80 10800 1 EEST
000001e39f8caa80 7200 0 EET
000001e6b8a00280 10800 1 EEST
000001eaf2177a80 7200 0 EET
000001ee0b2ad280 10800 1 EEST
000001f244a24a80 7200 0 EET
000001f55db5a280 10800 1 EEST
000001f9bb399e80 7200 0 EET
000001fcb0407280 10800 1 EEST
000002010dc46e80 7200 0 EET
0000020402cb4280 10800 1 EEST
00000208604f3e80 7200 0 EET
0000020b79629680 10800 1 EEST
0000020fb2da0e80 7200 0 EET
00000212cbed6680 10800 1 EEST
000002170564de80 7200 0 EET
0000021a1e783680 10800 1 EEST
0000021e57efae80 7200 0 EET
0000022171030680 10800 1 EEST
00000225ce870280 7200 0 EET
00000228c38dd680 10800 1 EEST
0000022d2111d280 7200 0 EET
000002301618a680 10800 1 EEST
00000234739ca280 7200 0 EET
000002378caffa80 10800 1 EEST
0000023bc6277280 7200 0 EET
0000023edf3aca80 10800 1 EEST
0000024318b24280 7200 0 EET
0000024631c59a80 10800 1 EEST
0000024a8f499680 7200 0 EET
0000024d84506a80 10800 1 EEST
00000251e1d46680 7200 0 EET
00000254d6db3a80 10800 1 EEST
00000259345f3680 7200 0 EET
0000025c4d728e80 10800 1 EEST
0000026086ea0680 7200 0 EET
000002639ffd5e80 10800 1 EEST
00000267d974d680 7200 0 EET
0000026af2882e80 10800 1 EEST
0000026f2bffa680 7200 0 EET
000002724512fe80 10800 1 EEST
00000276a296fa80 7200 0 EET
00000279979dce80 10800 1 EEST
0000027df521ca80 7200 0 EET
00000280ea289e80 10800 1 EEST
0000028547ac9a80 7200 0 EET
0000028860bff280 10800 1 EEST
0000028c9a376a80 7200 0 EET
0000028fb34ac280 10800 1 EEST
00000293ecc23a80 7200 0 EET
0000029705d59280 10800 1 EEST
0000029b63598e80 7200 0 EET
0000029e58606280 10800 1 EEST
000002a2b5e45e80 7200 0 EET
000002a5aaeb3280 10800 1 EEST
000002aa086f2e80 7200 0 EET
000002acfd760280 10800 1 EEST
000002b15af9fe80 7200 0 EET
000002b4740d5680 10800 1 EEST
000002b8ad84ce80 7200 0 EET
000002bbc6982680 10800 1 EEST
000002c0000f9e80 7200 0 EET
000002c31922f680 10800 1 EEST
000002c776a6f280 7200 0 EET
000002ca6badc680 10800 1 EEST
000002cec931c280 7200 0 EET
000002d1be389680 10800 1 EEST
000002d61bbc9280 7200 0 EET
000002d934cfea80 10800 1 EEST
000002dd6e476280 7200 0 EET
000002e0875aba80 10800 1 EEST
