=Europe/Volgograd
8000000000000000 10660 0 LMT
fffffe90a61ccb60 10800 0 TSAT
fffffeb745cca880 10800 0 STAT
fffffedd88cc3080 14400 0 STAT
ffffffc430a9da00 14400 0 VOLMMTT
00000052a2b09600 18000 1 VOLST
0000005650e56b80 14400 0 VOLT
00000059fa61c200 18000 1 VOLST
0000005da8969780 14400 0 VOLT
000000615212ee00 18000 1 VOLST
000000650047c380 14400 0 VOLT
00000068aeea7600 18000 1 VOLST
0000006c589dbb00 14400 0 VOLT
0000007001e32300 18000 1 VOLST
00000073ab288b00 14400 0 VOLT
00000077546df300 18000 1 VOLST
0000007afdb35b00 14400 0 VOLT
0000007ea6f8c300 18000 1 VOLST
00000082503e2b00 14400 0 VOLT
00000085f9839300 18000 1 VOLST
00000089a2c8fb00 14400 0 VOLT
0000008d4c0e6300 10800 0 VOLMMTT
0000008d4c455180 14400 1 VOLST
00000090f58ab980 10800 0 VOLT
000000949ed02180 14400 1 VOLST
000000986c220d80 10800 0 VOLT
0000009c15677580 14400 0 VOLT
000000a367bb5700 14400 0 VOLST
000000a7105bf380 10800 0 VOLT
000000aaba7d1580 14400 1 VOLST
000000ae63c27d80 10800 0 VOLT
000000b20d07e580 14400 1 VOLST
000000b5b64d4d80 10800 0 VOLT
000000b95f92b580 14400 1 VOLST
000000bd08d81d80 10800 0 VOLT
000000c0d62a0980 14400 1 VOLST
000000c50fa18180 10800 0 VOLT
000000c828b4d980 14400 1 VOLST
000000cc622c5180 10800 0 VOLT
000000cf7b3fa980 14400 1 VOLST
000000d3b4b72180 10800 0 VOLT
000000d6cdca7980 14400 1 VOLST
000000db2b4e7580 10800 0 VOLT
000000de20554980 14400 1 VOLST
000000e27dd94580 10800 0 VOLT
000000e572e01980 14400 1 VOLST
000000e9d0641580 10800 0 VOLT
000000ece9776d80 14400 1 VOLST
000000f122eee580 10800 0 VOLT
000000f43c023d80 14400 1 VOLST
000000f87579b580 10800 0 VOLT
000000fb8e8d0d80 14400 1 VOLST
000000ffec110980 10800 0 VOLT
00000102e117dd80 14400 1 VOLST
000001073e9bd980 10800 0 VOLT
0000010a33a2ad80 14400 1 VOLST
0000010e9126a980 10800 0 VOLT
00000111862d7d80 14400 1 VOLST
00000115e3b17980 10800 0 VOLT
00000118fcc4d180 14400 1 VOLST
0000011d363c4980 10800 0 VOLT
000001204f4fa180 14400 1 VOLST
0000012488c71980 10800 0 VOLT
00000127a1da7180 14400 1 VOLST
0000012bff5e6d80 10800 0 VOLT
0000012ef4654180 14400 0 VOLT
