=Europe/Warsaw
8000000000000000 5040 0 LMT
fffffd6aba1db880 5040 0 WMT
fffffe7038e73c80 3600 0 CET
fffffe75a73b4f00 7200 1 CEST
fffffe78bb5f3980 3600 0 CET
fffffe7cb251e280 7200 1 CEST
fffffe7fcb653a80 3600 0 CET
fffffe8404dcb280 7200 1 CEST
fffffe871e26f900 7200 0 EET
fffffe8b5c56f000 10800 1 EEST
fffffe8e756a4800 7200 0 EET
ffffff2710536e80 7200 0 CEST
ffffff38677d3680 3600 0 CET
ffffff3b5c840a80 7200 1 CEST
ffffff3f29d5f680 3600 0 CET
ffffff42d31b5e80 7200 1 CEST
ffffff4676cc8d80 7200 0 CEST
ffffff4686769000 3600 0 CET
ffffff4ab0440580 7200 1 CEST
ffffff4e6debef00 3600 0 CET
ffffff51bab5cd80 7200 1 CEST
ffffff554582ea80 3600 0 CET
ffffff5979d40680 7200 1 CEST
ffffff5c92e75e80 3600 0 CET
ffffff608445ce80 7200 1 CEST
ffffff63e5722e80 3600 0 CET
ffffff67b2c41a80 7200 1 CEST
ffffff6b37fcfe80 3600 0 CET
ffffffa38b545000 7200 1 CEST
ffffffa5f0291400 3600 0 CET
ffffffa9996e7c00 7200 1 CEST
ffffffad42b3e400 3600 0 CET
ffffffb23069f000 7200 1 CEST
ffffffb4b94b3800 3600 0 CET
ffffffb86290a000 7200 1 CEST
ffffffbc0bd60800 3600 0 CET
ffffffc0d57f9000 7200 1 CEST
ffffffc35e60d800 3600 0 CET
ffffffc8280a6000 7200 1 CEST
ffffffcab0eba800 3600 0 CET
ffffffcf7a953000 7200 1 CEST
ffffffd203767800 3600 0 CET
ffffffd6f12c8400 7200 1 CEST
ffffffd956014800 3600 0 CET
000000336fedfd80 3600 0 CET
0000003549edfc00 7200 1 CEST
00000038cf26e000 3600 0 CET
0000003c9c78cc00 7200 1 CEST
0000004045be3400 3600 0 CET
00000043ef039c00 7200 1 CEST
0000004798490400 3600 0 CET
0000004b659af000 7200 1 CEST
0000004eead3d400 3600 0 CET
0000005294193c00 7200 1 CEST
000000563d5ea400 3600 0 CET
00000059e6a40c00 7200 1 CEST
0000005d8fe97400 3600 0 CET
00000061392edc00 7200 1 CEST
00000064e2744400 3600 0 CET
000000688bb9ac00 7200 1 CEST
0000006c590b9800 3600 0 CET
0000007002510000 7200 1 CEST
00000073ab966800 3600 0 CET
0000007754dbd000 7200 1 CEST
0000007afe213800 3600 0 CET
0000007ea766a000 7200 1 CEST
0000008250ac0800 3600 0 CET
000000843ed79980 3600 0 CET
00000085fa285e80 7200 1 CEST
00000089a36dc680 3600 0 CET
0000008d4cb32e80 7200 1 CEST
00000090f5f89680 3600 0 CET
000000949f3dfe80 7200 1 CEST
000000986c8fea80 3600 0 CET
0000009c15d55280 7200 1 CEST
0000009fbf1aba80 3600 0 CET
000000a368602280 7200 1 CEST
000000a711a58a80 3600 0 CET
000000aabaeaf280 7200 1 CEST
000000ae64305a80 3600 0 CET
000000b20d75c280 7200 1 CEST
000000b5b6bb2a80 3600 0 CET
000000b960009280 7200 1 CEST
000000bd0945fa80 3600 0 CET
000000c0d697e680 7200 1 CEST
000000c5100f5e80 3600 0 CET
000000c82922b680 7200 1 CEST
000000cc629a2e80 3600 0 CET
000000cf7bad8680 7200 1 CEST
000000d3b524fe80 3600 0 CET
000000d6ce385680 7200 1 CEST
000000db2bbc5280 3600 0 CET
000000de20c32680 7200 1 CEST
000000e27e472280 3600 0 CET
000000e5734df680 7200 1 CEST
000000e9d0d1f280 3600 0 CET
000000ece9e54a80 7200 1 CEST
000000f1235cc280 3600 0 CET
000000f43c701a80 7200 1 CEST
000000f875e79280 3600 0 CET
000000fb8efaea80 7200 1 CEST
000000ffec7ee680 3600 0 CET
00000102e185ba80 7200 1 CEST
000001073f09b680 3600 0 CET
0000010a34108a80 7200 1 CEST
0000010e91948680 3600 0 CET
00000111869b5a80 7200 1 CEST
00000115e41f5680 3600 0 CET
00000118fd32ae80 7200 1 CEST
0000011d36aa2680 3600 0 CET
000001204fbd7e80 7200 1 CEST
000001248934f680 3600 0 CET
00000127a2484e80 7200 1 CEST
0000012bffcc4a80 3600 0 CET
0000012ef4d31e80 7200 1 CEST
0000013352571a80 3600 0 CET
00000136475dee80 7200 1 CEST
