=Pacific/Auckland
8000000000000000 41944 0 LMT
fffffd18b4037040 41400 0 NZMT
fffffeca41dada40 45000 1 NZST
fffffecca678afc0 41400 0 NZMT
fffffed128401e40 43200 1 NZST
fffffed44137ff00 41400 0 NZMT
fffffed87acaee40 43200 1 NZST
fffffedb93c2cf00 41400 0 NZMT
fffffedfcd55be40 43200 1 NZST
fffffee2e64d9f00 41400 0 NZMT
fffffee71fe08e40 43200 1 NZST
fffffeea5ce4f300 41400 0 NZMT
fffffeee726b5e40 43200 1 NZST
fffffef1af6fc300 41400 0 NZMT
fffffef5c4f62e40 43200 1 NZST
fffffef9da45ab00 41400 0 NZMT
fffffefcf3747a40 43200 1 NZST
ffffff012cd07b00 41400 0 NZMT
ffffff0445ff4a40 43200 1 NZST
ffffff087f5b4b00 41400 0 NZMT
ffffff0b988a1a40 43200 1 NZST
ffffff0fd1e61b00 41400 0 NZMT
ffffff12eb14ea40 43200 1 NZST
ffffff172470eb00 41400 0 NZMT
ffffff1a3d9fba40 43200 1 NZST
ffffff1e9b083f00 41400 0 NZMT
ffffff21902a8a40 43200 1 NZST
ffffff25ed930f00 41400 0 NZMT
ffffff2906c1de40 43200 1 NZST
ffffff4fa5ea8a00 43200 0 NZST
00000023899fb300 46800 1 NZDT
00000025ca67f300 43200 0 NZST
0000002ab81dff00 46800 1 NZDT
0000002d650bcb00 43200 0 NZST
000000322eb55300 46800 1 NZDT
00000034b7969b00 43200 0 NZST
0000003981402300 46800 1 NZDT
0000003c0a216b00 43200 0 NZST
00000040d3caf300 46800 1 NZDT
000000435cac3b00 43200 0 NZST
000000482655c300 46800 1 NZDT
0000004aaf370b00 43200 0 NZST
0000004f78e09300 46800 1 NZDT
0000005201c1db00 43200 0 NZST
00000056cb6b6300 46800 1 NZDT
0000005978592f00 43200 0 NZST
0000005e4202b700 46800 1 NZDT
00000060cae3ff00 43200 0 NZST
00000065948d8700 46800 1 NZDT
000000681d6ecf00 43200 0 NZST
0000006ce7185700 46800 1 NZDT
0000006f6ff99f00 43200 0 NZST
0000007439a32700 46800 1 NZDT
00000076c2846f00 43200 0 NZST
0000007b8c2df700 46800 1 NZDT
0000007e150f3f00 43200 0 NZST
00000082deb8c700 46800 1 NZDT
000000858ba69300 43200 0 NZST
0000008a55501b00 46800 1 NZDT
0000008cde316300 43200 0 NZST
000000913bb55f00 46800 1 NZDT
0000009478d53b00 43200 0 NZST
000000988e402f00 46800 1 NZDT
0000009bcb600b00 43200 0 NZST
0000009fe0caff00 46800 1 NZDT
000000a31deadb00 43200 0 NZST
000000a73355cf00 46800 1 NZDT
000000aa94822f00 43200 0 NZST
000000ae85e09f00 46800 1 NZDT
000000b1e70cff00 43200 0 NZST
000000b5d86b6f00 46800 1 NZDT
000000b93997cf00 43200 0 NZST
000000bd2af63f00 46800 1 NZDT
000000c08c229f00 43200 0 NZST
000000c4a18d9300 46800 1 NZDT
000000c7dead6f00 43200 0 NZST
000000cbf4186300 46800 1 NZDT
000000cf31383f00 43200 0 NZST
000000d346a33300 46800 1 NZDT
000000d6a7cf9300 43200 0 NZST
000000da992e0300 46800 1 NZDT
000000ddfa5a6300 43200 0 NZST
000000e1ebb8d300 46800 1 NZDT
000000e54ce53300 43200 0 NZST
000000e962502700 46800 1 NZDT
000000ec9f700300 43200 0 NZST
000000f0b4daf700 46800 1 NZDT
000000f3f1fad300 43200 0 NZST
000000f80765c700 46800 1 NZDT
000000fb68922700 43200 0 NZST
000000ff59f09700 46800 1 NZDT
00000102bb1cf700 43200 0 NZST
00000106ac7b6700 46800 1 NZDT
0000010a0da7c700 43200 0 NZST
0000010dff063700 46800 1 NZDT
0000011160329700 43200 0 NZST
0000011551910700 46800 1 NZDT
000001191ee2f300 43200 0 NZST
0000011ca41bd700 46800 1 NZDT
00000120716dc300 43200 0 NZST
00000123f6a6a700 46800 1 NZDT
00000127c3f89300 43200 0 NZST
0000012b49317700 46800 1 NZDT
0000012f16836300 43200 0 NZST
000001329bbc4700 46800 1 NZDT
00000136690e3300 43200 0 NZST
0000013a12539b00 46800 1 NZDT
0000013ddfa58700 43200 0 NZST
0000014164de6b00 46800 1 NZDT
0000014532305700 43200 0 NZST
00000148b7693b00 46800 1 NZDT
0000014c84bb2700 43200 0 NZST
0000015009f40b00 46800 1 NZDT
00000153d745f700 43200 0 NZST
000001575c7edb00 46800 1 NZDT
0000015b29d0c700 43200 0 NZST
0000015eaf09ab00 46800 1 NZDT
000001627c5b9700 43200 0 NZST
0000016625a0ff00 46800 1 NZDT
00000169f2f2eb00 43200 0 NZST
0000016d782bcf00 46800 1 NZDT
00000171457dbb00 43200 0 NZST
00000174cab69f00 46800 1 NZDT
0000017898088b00 43200 0 NZST
0000017c1d416f00 46800 1 NZDT
0000017fea935b00 43200 0 NZST
000001836fcc3f00 46800 1 NZDT
000001873d1e2b00 43200 0 NZST
0000018ac2570f00 46800 1 NZDT
0000018eb3b57f00 43200 0 NZST
0000019238ee6300 46800 1 NZDT
0000019606404f00 43200 0 NZST
000001998b793300 46800 1 NZDT
0000019d58cb1f00 43200 0 NZST
000001a0de040300 46800 1 NZDT
000001a4ab55ef00 43200 0 NZST
000001a8308ed300 46800 1 NZDT
000001abfde0bf00 43200 0 NZST
000001af8319a300 46800 1 NZDT
000001b3506b8f00 43200 0 NZST
000001b6f9b0f700 46800 1 NZDT
000001bac702e300 43200 0 NZST
000001be4c3bc700 46800 1 NZDT
000001c2198db300 43200 0 NZST
000001c59ec69700 46800 1 NZDT
000001c96c188300 43200 0 NZST
000001ccf1516700 46800 1 NZDT
000001d0bea35300 43200 0 NZST
000001d443dc3700 46800 1 NZDT
000001d8112e2300 43200 0 NZST
000001db96670700 46800 1 NZDT
000001df63b8f300 43200 0 NZST
000001e30cfe5b00 46800 1 NZDT
000001e6da504700 43200 0 NZST
000001ea5f892b00 46800 1 NZDT
000001ee2cdb1700 43200 0 NZST
000001f1b213fb00 46800 1 NZDT
000001f57f65e700 43200 0 NZST
000001f9049ecb00 46800 1 NZDT
000001fcd1f0b700 43200 0 NZST
0000020057299b00 46800 1 NZDT
00000204247b8700 43200 0 NZST
00000207cdc0ef00 46800 1 NZDT
0000020b9b12db00 43200 0 NZST
0000020f204bbf00 46800 1 NZDT
00000212ed9dab00 43200 0 NZST
0000021672d68f00 46800 1 NZDT
0000021a40287b00 43200 0 NZST
0000021dc5615f00 46800 1 NZDT
0000022192b34b00 43200 0 NZST
0000022517ec2f00 46800 1 NZDT
00000228e53e1b00 43200 0 NZST
0000022c6a76ff00 46800 1 NZDT
0000023037c8eb00 43200 0 NZST
00000233e10e5300 46800 1 NZDT
00000237ae603f00 43200 0 NZST
0000023b33992300 46800 1 NZDT
0000023f00eb0f00 43200 0 NZST
000002428623f300 46800 1 NZDT
000002465375df00 43200 0 NZST
00000249d8aec300 46800 1 NZDT
0000024da600af00 43200 0 NZST
000002512b399300 46800 1 NZDT
00000254f88b7f00 43200 0 NZST
000002587dc46300 46800 1 NZDT
0000025c6f22d300 43200 0 NZST
0000025ff45bb700 46800 1 NZDT
00000263c1ada300 43200 0 NZST
0000026746e68700 46800 1 NZDT
0000026b14387300 43200 0 NZST
0000026e99715700 46800 1 NZDT
0000027266c34300 43200 0 NZST
00000275ebfc2700 46800 1 NZDT
00000279b94e1300 43200 0 NZST
0000027d3e86f700 46800 1 NZDT
000002810bd8e300 43200 0 NZST
00000284b51e4b00 46800 1 NZDT
0000028882703700 43200 0 NZST
0000028c07a91b00 46800 1 NZDT
0000028fd4fb0700 43200 0 NZST
000002935a33eb00 46800 1 NZDT
000002972785d700 43200 0 NZST
0000029aacbebb00 46800 1 NZDT
0000029e7a10a700 43200 0 NZST
000002a1ff498b00 46800 1 NZDT
000002a5cc9b7700 43200 0 NZST
000002a951d45b00 46800 1 NZDT
000002ad1f264700 43200 0 NZST
000002b0c86baf00 46800 1 NZDT
000002b495bd9b00 43200 0 NZST
000002b81af67f00 46800 1 NZDT
000002bbe8486b00 43200 0 NZST
000002bf6d814f00 46800 1 NZDT
000002c33ad33b00 43200 0 NZST
000002c6c00c1f00 46800 1 NZDT
000002ca8d5e0b00 43200 0 NZST
000002ce1296ef00 46800 1 NZDT
000002d1dfe8db00 43200 0 NZST
000002d5892e4300 46800 1 NZDT
000002d956802f00 43200 0 NZST
000002dcdbb91300 46800 1 NZDT
000002e0a90aff00 43200 0 NZST
000002e42e43e300 46800 1 NZDT
000002e7fb95cf00 43200 0 NZST
000002eb80ceb300 46800 1 NZDT
000002ef4e209f00 43200 0 NZST
000002f2d3598300 46800 1 NZDT
000002f6a0ab6f00 43200 0 NZST
000002fa25e45300 46800 1 NZDT
000002fdf3363f00 43200 0 NZST
000003019c7ba700 46800 1 NZDT
0000030569cd9300 43200 0 NZST
00000308ef067700 46800 1 NZDT
0000030cbc586300 43200 0 NZST
0000031041914700 46800 1 NZDT
000003140ee33300 43200 0 NZST
00000317941c1700 46800 1 NZDT
0000031b616e0300 43200 0 NZST
0000031ee6a6e700 46800 1 NZDT
00000322b3f8d300 43200 0 NZST
