=Pacific/Chatham
8000000000000000 44028 0 LMT
ffffffa079eddfa0 45900 0 CHAST
00000023899fb300 49500 1 CHADT
00000025ca67f300 45900 0 CHAST
0000002ab81dff00 49500 1 CHADT
0000002d650bcb00 45900 0 CHAST
000000322eb55300 49500 1 CHADT
00000034b7969b00 45900 0 CHAST
0000003981402300 49500 1 CHADT
0000003c0a216b00 45900 0 CHAST
00000040d3caf300 49500 1 CHADT
000000435cac3b00 45900 0 CHAST
000000482655c300 49500 1 CHADT
0000004aaf370b00 45900 0 CHAST
0000004f78e09300 49500 1 CHADT
0000005201c1db00 45900 0 CHAST
00000056cb6b6300 49500 1 CHADT
0000005978592f00 45900 0 CHAST
0000005e4202b700 49500 1 CHADT
00000060cae3ff00 45900 0 CHAST
00000065948d8700 49500 1 CHADT
000000681d6ecf00 45900 0 CHAST
0000006ce7185700 49500 1 CHADT
0000006f6ff99f00 45900 0 CHAST
0000007439a32700 49500 1 CHADT
00000076c2846f00 45900 0 CHAST
0000007b8c2df700 49500 1 CHADT
0000007e150f3f00 45900 0 CHAST
00000082deb8c700 49500 1 CHADT
000000858ba69300 45900 0 CHAST
0000008a55501b00 49500 1 CHADT
0000008cde316300 45900 0 CHAST
000000913bb55f00 49500 1 CHADT
0000009478d53b00 45900 0 CHAST
000000988e402f00 49500 1 CHADT
0000009bcb600b00 45900 0 CHAST
0000009fe0caff00 49500 1 CHADT
000000a31deadb00 45900 0 CHAST
000000a73355cf00 49500 1 CHADT
000000aa94822f00 45900 0 CHAST
000000ae85e09f00 49500 1 CHADT
000000b1e70cff00 45900 0 CHAST
000000b5d86b6f00 49500 1 CHADT
000000b93997cf00 45900 0 CHAST
000000bd2af63f00 49500 1 CHADT
000000c08c229f00 45900 0 CHAST
000000c4a18d9300 49500 1 CHADT
000000c7dead6f00 45900 0 CHAST
000000cbf4186300 49500 1 CHADT
000000cf31383f00 45900 0 CHAST
000000d346a33300 49500 1 CHADT
000000d6a7cf9300 45900 0 CHAST
000000da992e0300 49500 1 CHADT
000000ddfa5a6300 45900 0 CHAST
000000e1ebb8d300 49500 1 CHADT
000000e54ce53300 45900 0 CHAST
000000e962502700 49500 1 CHADT
000000ec9f700300 45900 0 CHAST
000000f0b4daf700 49500 1 CHADT
000000f3f1fad300 45900 0 CHAST
000000f80765c700 49500 1 CHADT
000000fb68922700 45900 0 CHAST
000000ff59f09700 49500 1 CHADT
00000102bb1cf700 45900 0 CHAST
00000106ac7b6700 49500 1 CHADT
0000010a0da7c700 45900 0 CHAST
0000010dff063700 49500 1 CHADT
0000011160329700 45900 0 CHAST
0000011551910700 49500 1 CHADT
000001191ee2f300 45900 0 CHAST
0000011ca41bd700 49500 1 CHADT
00000120716dc300 45900 0 CHAST
00000123f6a6a700 49500 1 CHADT
00000127c3f89300 45900 0 CHAST
0000012b49317700 49500 1 CHADT
0000012f16836300 45900 0 CHAST
000001329bbc4700 49500 1 CHADT
00000136690e3300 45900 0 CHAST
0000013a12539b00 49500 1 CHADT
0000013ddfa58700 45900 0 CHAST
0000014164de6b00 49500 1 CHADT
0000014532305700 45900 0 CHAST
00000148b7693b00 49500 1 CHADT
0000014c84bb2700 45900 0 CHAST
0000015009f40b00 49500 1 CHADT
00000153d745f700 45900 0 CHAST
000001575c7edb00 49500 1 CHADT
0000015b29d0c700 45900 0 CHAST
0000015eaf09ab00 49500 1 CHADT
000001627c5b9700 45900 0 CHAST
0000016625a0ff00 49500 1 CHADT
00000169f2f2eb00 45900 0 CHAST
0000016d782bcf00 49500 1 CHADT
00000171457dbb00 45900 0 CHAST
00000174cab69f00 49500 1 CHADT
0000017898088b00 45900 0 CHAST
0000017c1d416f00 49500 1 CHADT
0000017fea935b00 45900 0 CHAST
000001836fcc3f00 49500 1 CHADT
000001873d1e2b00 45900 0 CHAST
0000018ac2570f00 49500 1 CHADT
0000018eb3b57f00 45900 0 CHAST
0000019238ee6300 49500 1 CHADT
0000019606404f00 45900 0 CHAST
000001998b793300 49500 1 CHADT
0000019d58cb1f00 45900 0 CHAST
000001a0de040300 49500 1 CHADT
000001a4ab55ef00 45900 0 CHAST
000001a8308ed300 49500 1 CHADT
000001abfde0bf00 45900 0 CHAST
000001af8319a300 49500 1 CHADT
000001b3506b8f00 45900 0 CHAST
000001b6f9b0f700 49500 1 CHADT
000001bac702e300 45900 0 CHAST
000001be4c3bc700 49500 1 CHADT
000001c2198db300 45900 0 CHAST
000001c59ec69700 49500 1 CHADT
000001c96c188300 45900 0 CHAST
000001ccf1516700 49500 1 CHADT
000001d0bea35300 45900 0 CHAST
000001d443dc3700 49500 1 CHADT
000001d8112e2300 45900 0 CHAST
000001db96670700 49500 1 CHADT
000001df63b8f300 45900 0 CHAST
000001e30cfe5b00 49500 1 CHADT
000001e6da504700 45900 0 CHAST
000001ea5f892b00 49500 1 CHADT
000001ee2cdb1700 45900 0 CHAST
000001f1b213fb00 49500 1 CHADT
000001f57f65e700 45900 0 CHAST
000001f9049ecb00 49500 1 CHADT
000001fcd1f0b700 45900 0 CHAST
0000020057299b00 49500 1 CHADT
00000204247b8700 45900 0 CHAST
00000207cdc0ef00 49500 1 CHADT
0000020b9b12db00 45900 0 CHAST
0000020f204bbf00 49500 1 CHADT
00000212ed9dab00 45900 0 CHAST
0000021672d68f00 49500 1 CHADT
0000021a40287b00 45900 0 CHAST
0000021dc5615f00 49500 1 CHADT
0000022192b34b00 45900 0 CHAST
0000022517ec2f00 49500 1 CHADT
00000228e53e1b00 45900 0 CHAST
0000022c6a76ff00 49500 1 CHADT
0000023037c8eb00 45900 0 CHAST
00000233e10e5300 49500 1 CHADT
00000237ae603f00 45900 0 CHAST
0000023b33992300 49500 1 CHADT
0000023f00eb0f00 45900 0 CHAST
000002428623f300 49500 1 CHADT
000002465375df00 45900 0 CHAST
00000249d8aec300 49500 1 CHADT
0000024da600af00 45900 0 CHAST
000002512b399300 49500 1 CHADT
00000254f88b7f00 45900 0 CHAST
000002587dc46300 49500 1 CHADT
