=Pacific/Easter
8000000000000000 -26264 0 LMT
fffffdb4385a2dc0 -26248 0 EMT
fffffeedb2541340 -21600 0 EASST
ffffff354f0eaa00 -25200 0 EAST
ffffff3689698480 -21600 1 EASST
ffffff5395918600 -21600 1 EASST
ffffff548c8bd780 -25200 0 EAST
ffffff58d086f600 -25200 0 EAST
fffffff779535a00 -21600 1 EASST
fffffffa6e233f80 -25200 0 EAST
ffffffff3803b600 -21600 1 EASST
00000001c0ae0f80 -25200 0 EAST
00000005b2436e00 -21600 1 EASST
00000008cb1fd780 -25200 0 EAST
0000000d04ce3e00 -21600 1 EASST
000000101daaa780 -25200 0 EAST
000000147b659200 -21600 1 EASST
0000001770357780 -25200 0 EAST
0000001b85d75a00 -21600 1 EASST
0000001ec2c04780 -25200 0 EAST
00000023207b3200 -21600 1 EASST
00000026154b1780 -25200 0 EAST
0000002a73060200 -21600 1 EASST
0000002d8be26b80 -25200 0 EAST
00000031c590d200 -21600 1 EASST
00000034de6d3b80 -25200 0 EAST
00000039181ba200 -21600 1 EASST
0000003c30f80b80 -25200 0 EAST
000000408eb2f600 -21600 1 EASST
000000438382db80 -25200 0 EAST
00000047e13dc600 -21600 1 EASST
0000004ad60dab80 -25200 0 EAST
0000004f33c89600 -21600 1 EASST
000000524ca4ff80 -25200 0 EAST
0000005686536600 -21600 1 EASST
000000599f2fcf80 -21600 0 EAST
0000005dd8de3600 -18000 1 EASST
00000060f1ba9f80 -21600 0 EAST
000000652b690600 -18000 1 EASST
0000006844456f80 -21600 0 EAST
0000006ca2005a00 -18000 1 EASST
0000006f96d03f80 -21600 0 EAST
00000073f48b2a00 -18000 1 EASST
00000076e95b0f80 -21600 0 EAST
0000007b4715fa00 -18000 1 EASST
0000007ef0247380 -21600 0 EAST
0000008299a0ca00 -18000 1 EASST
00000085b27d3380 -21600 0 EAST
00000089c81f1600 -18000 1 EASST
0000008d05080380 -21600 0 EAST
0000009162c2ee00 -18000 1 EASST
000000947b9f5780 -21600 0 EAST
00000098251bae00 -18000 1 EASST
0000009baa1da380 -21600 0 EAST
000000a007d88e00 -18000 1 EASST
000000a320b4f780 -21600 0 EAST
000000a75a635e00 -18000 1 EASST
000000aa733fc780 -21600 0 EAST
000000aeacee2e00 -18000 1 EASST
000000b1c5ca9780 -21600 0 EAST
000000b5ff78fe00 -18000 1 EASST
000000b918556780 -21600 0 EAST
000000bd76105200 -18000 1 EASST
000000c06ae03780 -21600 0 EAST
000000c4c89b2200 -18000 1 EASST
000000c829909380 -21600 0 EAST
000000cc1b25f200 -18000 1 EASST
000000cf34025b80 -21600 0 EAST
000000d32597ba00 -18000 1 EASST
000000d6f2b2b780 -21600 0 EAST
000000dac03b9200 -18000 1 EASST
000000ddd917fb80 -21600 0 EAST
000000e236d2e600 -18000 1 EASST
000000e52ba2cb80 -21600 0 EAST
000000e9895db600 -18000 1 EASST
000000ec7e2d9b80 -21600 0 EAST
000000f0dbe88600 -18000 1 EASST
000000f3d0b86b80 -21600 0 EAST
000000f82e735600 -18000 1 EASST
000000fb474fbf80 -21600 0 EAST
000000ff80fe2600 -18000 1 EASST
0000010299da8f80 -21600 0 EAST
00000106d388f600 -18000 1 EASST
00000109ec655f80 -21600 0 EAST
0000010e4a204a00 -18000 1 EASST
