=Pacific/Efate
8000000000000000 40396 0 LMT
fffffe5610008f20 39600 0 VUT
00000064e0180480 43200 1 VUST
0000006889267e00 39600 0 VUT
0000006ccd219c80 43200 1 VUST
0000006fdbb14e00 39600 0 VUT
00000073a93a2880 43200 1 VUST
000000772e3c1e00 39600 0 VUT
0000007afbc4f880 43200 1 VUST
0000007ea4d37200 39600 0 VUT
000000824e4fc880 43200 1 VUST
00000085f75e4200 39600 0 VUT
00000089a0da9880 43200 1 VUST
0000008d49e91200 39600 0 VUT
00000090f3656880 43200 1 VUST
000000949c73e200 39600 0 VUT
0000009845f03880 43200 1 VUST
0000009beefeb200 39600 0 VUT
0000009fbc878c80 43200 1 VUST
000000a221256200 39600 0 VUT
000000a79f446c80 43200 1 VUST
000000a973b03200 39600 0 VUT
