=Pacific/Fiji
8000000000000000 42820 0 LMT
fffffe71dcf03a60 43200 0 FJT
000000d3d6d54300 46800 1 FJST
000000d63baa0700 43200 0 FJT
000000db4d6c9700 46800 1 FJST
000000dd8e34d700 43200 0 FJT
000001253b174b00 46800 1 FJST
000001279fec0f00 43200 0 FJT
0000012bd9638700 46800 1 FJST
0000012e86515300 43200 0 FJT
000001332bee5700 46800 1 FJST
0000013500910b00 43200 0 FJT
0000013a7e792700 46800 1 FJST
0000013c531bdb00 43200 0 FJT
00000141d103f700 46800 1 FJST
00000143a5a6ab00 43200 0 FJT
00000149238ec700 46800 1 FJST
0000014af8317b00 43200 0 FJT
0000015076199700 46800 1 FJST
000001526ec8cf00 43200 0 FJT
00000157ecb0eb00 46800 1 FJST
00000159c1539f00 43200 0 FJT
0000015f3f3bbb00 46800 1 FJST
0000016113de6f00 43200 0 FJT
0000016691c68b00 46800 1 FJST
0000016866693f00 43200 0 FJT
0000016de4515b00 46800 1 FJST
0000016fb8f40f00 43200 0 FJT
0000017536dc2b00 46800 1 FJST
000001772f8b6300 43200 0 FJT
0000017cad737f00 46800 1 FJST
0000017e82163300 43200 0 FJT
00000183fffe4f00 46800 1 FJST
00000185d4a10300 43200 0 FJT
0000018b52891f00 46800 1 FJST
0000018d272bd300 43200 0 FJT
00000192a513ef00 46800 1 FJST
0000019479b6a300 43200 0 FJT
00000199f79ebf00 46800 1 FJST
0000019bcc417300 43200 0 FJT
000001a14a298f00 46800 1 FJST
000001a342d8c700 43200 0 FJT
000001a8c0c0e300 46800 1 FJST
000001aa95639700 43200 0 FJT
000001b0134bb300 46800 1 FJST
000001b1e7ee6700 43200 0 FJT
000001b765d68300 46800 1 FJST
000001b93a793700 43200 0 FJT
000001beb8615300 46800 1 FJST
000001c08d040700 43200 0 FJT
000001c60aec2300 46800 1 FJST
000001c7df8ed700 43200 0 FJT
000001cd81837700 46800 1 FJST
000001cf56262b00 43200 0 FJT
000001d4d40e4700 46800 1 FJST
000001d6a8b0fb00 43200 0 FJT
000001dc26991700 46800 1 FJST
000001ddfb3bcb00 43200 0 FJT
000001e37923e700 46800 1 FJST
000001e54dc69b00 43200 0 FJT
000001eacbaeb700 46800 1 FJST
000001eca0516b00 43200 0 FJT
000001f21e398700 46800 1 FJST
000001f416e8bf00 43200 0 FJT
000001f994d0db00 46800 1 FJST
000001fb69738f00 43200 0 FJT
00000200e75bab00 46800 1 FJST
00000202bbfe5f00 43200 0 FJT
0000020839e67b00 46800 1 FJST
0000020a0e892f00 43200 0 FJT
0000020f8c714b00 46800 1 FJST
000002116113ff00 43200 0 FJT
00000216defc1b00 46800 1 FJST
00000218b39ecf00 43200 0 FJT
0000021e3186eb00 46800 1 FJST
000002202a362300 43200 0 FJT
00000225a81e3f00 46800 1 FJST
000002277cc0f300 43200 0 FJT
0000022cfaa90f00 46800 1 FJST
0000022ecf4bc300 43200 0 FJT
000002344d33df00 46800 1 FJST
0000023621d69300 43200 0 FJT
0000023b9fbeaf00 46800 1 FJST
0000023d74616300 43200 0 FJT
00000242f2497f00 46800 1 FJST
00000244eaf8b700 43200 0 FJT
0000024a68e0d300 46800 1 FJST
0000024c3d838700 43200 0 FJT
00000251bb6ba300 46800 1 FJST
00000253900e5700 43200 0 FJT
000002590df67300 46800 1 FJST
0000025ae2992700 43200 0 FJT
0000026060814300 46800 1 FJST
000002623523f700 43200 0 FJT
00000267b30c1300 46800 1 FJST
0000026987aec700 43200 0 FJT
0000026f0596e300 46800 1 FJST
00000270fe461b00 43200 0 FJT
000002767c2e3700 46800 1 FJST
0000027850d0eb00 43200 0 FJT
0000027dceb90700 46800 1 FJST
0000027fa35bbb00 43200 0 FJT
000002852143d700 46800 1 FJST
00000286f5e68b00 43200 0 FJT
0000028c73cea700 46800 1 FJST
0000028e48715b00 43200 0 FJT
00000293c6597700 46800 1 FJST
000002959afc2b00 43200 0 FJT
0000029b3cf0cb00 46800 1 FJST
0000029d11937f00 43200 0 FJT
000002a28f7b9b00 46800 1 FJST
000002a4641e4f00 43200 0 FJT
000002a9e2066b00 46800 1 FJST
000002abb6a91f00 43200 0 FJT
000002b134913b00 46800 1 FJST
000002b30933ef00 43200 0 FJT
000002b8871c0b00 46800 1 FJST
000002ba5bbebf00 43200 0 FJT
000002bfd9a6db00 46800 1 FJST
000002c1d2561300 43200 0 FJT
000002c7503e2f00 46800 1 FJST
000002c924e0e300 43200 0 FJT
000002cea2c8ff00 46800 1 FJST
000002d0776bb300 43200 0 FJT
000002d5f553cf00 46800 1 FJST
000002d7c9f68300 43200 0 FJT
000002dd47de9f00 46800 1 FJST
000002df1c815300 43200 0 FJT
000002e49a696f00 46800 1 FJST
000002e66f0c2300 43200 0 FJT
000002ebecf43f00 46800 1 FJST
000002ede5a37700 43200 0 FJT
000002f3638b9300 46800 1 FJST
000002f5382e4700 43200 0 FJT
000002fab6166300 46800 1 FJST
000002fc8ab91700 43200 0 FJT
0000030208a13300 46800 1 FJST
00000303dd43e700 43200 0 FJT
000003095b2c0300 46800 1 FJST
0000030b2fceb700 43200 0 FJT
00000310adb6d300 46800 1 FJST
00000312a6660b00 43200 0 FJT
00000318244e2700 46800 1 FJST
00000319f8f0db00 43200 0 FJT
0000031f76d8f700 46800 1 FJST
000003214b7bab00 43200 0 FJT
00000326c963c700 46800 1 FJST
000003289e067b00 43200 0 FJT
0000032e1bee9700 46800 1 FJST
0000032ff0914b00 43200 0 FJT
000003356e796700 46800 1 FJST
00000337431c1b00 43200 0 FJT
0000033cc1043700 46800 1 FJST
0000033eb9b36f00 43200 0 FJT
