=Pacific/Rarotonga
8000000000000000 -38344 0 LMT
fffffe0507fc1d40 -37800 0 CKT
00000041204a1440 -34200 0 CKHST
0000004360db65c0 -36000 0 CKT
000000482aa06500 -34200 1 CKHST
0000004ab36635c0 -36000 0 CKT
0000004f7d2b3500 -34200 1 CKHST
0000005205f105c0 -36000 0 CKT
00000056cfb60500 -34200 1 CKHST
000000597c8859c0 -36000 0 CKT
0000005e464d5900 -34200 1 CKHST
00000060cf1329c0 -36000 0 CKT
0000006598d82900 -34200 1 CKHST
00000068219df9c0 -36000 0 CKT
0000006ceb62f900 -34200 1 CKHST
0000006f7428c9c0 -36000 0 CKT
000000743dedc900 -34200 1 CKHST
00000076c6b399c0 -36000 0 CKT
0000007b90789900 -34200 1 CKHST
0000007e193e69c0 -36000 0 CKT
00000082e3036900 -34200 1 CKHST
000000858fd5bdc0 -36000 0 CKT
0000008a599abd00 -34200 1 CKHST
0000008ce2608dc0 -36000 0 CKT
00000091ac258d00 -34200 1 CKHST
0000009434eb5dc0 -36000 0 CKT
00000098feb05d00 -34200 1 CKHST
0000009b87762dc0 -36000 0 CKT
